4.0-6.4	4.8-7.4	127	0	35	79	1.000	0.784	0.879
4.0-6.4	4.8-7.6	130	0	32	79	1.000	0.802	0.890
4.0-6.4	4.8-7.8	136	0	26	79	1.000	0.840	0.913
4.0-6.4	4.8-8.0	137	0	25	79	1.000	0.846	0.916
4.0-6.4	4.8-8.2	139	0	23	79	1.000	0.858	0.924
4.0-6.4	5.0-7.4	127	0	35	79	1.000	0.784	0.879
4.0-6.4	5.0-7.6	130	0	32	79	1.000	0.802	0.890
4.0-6.4	5.0-7.8	136	0	26	79	1.000	0.840	0.913
4.0-6.4	5.0-8.0	137	0	25	79	1.000	0.846	0.916
4.0-6.4	5.0-8.2	139	0	23	79	1.000	0.858	0.924
4.0-6.4	5.2-7.4	123	0	39	79	1.000	0.759	0.863
4.0-6.4	5.2-7.6	126	0	36	79	1.000	0.778	0.875
4.0-6.4	5.2-7.8	132	0	30	79	1.000	0.815	0.898
4.0-6.4	5.2-8.0	135	0	27	79	1.000	0.833	0.909
4.0-6.4	5.2-8.2	137	0	25	79	1.000	0.846	0.916
4.0-6.4	5.4-7.4	117	0	45	79	1.000	0.722	0.839
4.0-6.4	5.4-7.6	121	0	41	79	1.000	0.747	0.855
4.0-6.4	5.4-7.8	130	0	32	79	1.000	0.802	0.890
4.0-6.4	5.4-8.0	135	0	27	79	1.000	0.833	0.909
4.0-6.4	5.4-8.2	137	0	25	79	1.000	0.846	0.916
4.0-6.6	4.8-7.4	129	0	33	79	1.000	0.796	0.887
4.0-6.6	4.8-7.6	132	0	30	79	1.000	0.815	0.898
4.0-6.6	4.8-7.8	136	0	26	79	1.000	0.840	0.913
4.0-6.6	4.8-8.0	137	0	25	79	1.000	0.846	0.916
4.0-6.6	4.8-8.2	139	0	23	79	1.000	0.858	0.924
4.0-6.6	5.0-7.4	129	0	33	79	1.000	0.796	0.887
4.0-6.6	5.0-7.6	132	0	30	79	1.000	0.815	0.898
4.0-6.6	5.0-7.8	136	0	26	79	1.000	0.840	0.913
4.0-6.6	5.0-8.0	137	0	25	79	1.000	0.846	0.916
4.0-6.6	5.0-8.2	139	0	23	79	1.000	0.858	0.924
4.0-6.6	5.2-7.4	125	0	37	79	1.000	0.772	0.871
4.0-6.6	5.2-7.6	128	0	34	79	1.000	0.790	0.883
4.0-6.6	5.2-7.8	133	0	29	79	1.000	0.821	0.902
4.0-6.6	5.2-8.0	136	0	26	79	1.000	0.840	0.913
4.0-6.6	5.2-8.2	138	0	24	79	1.000	0.852	0.920
4.0-6.6	5.4-7.4	118	0	44	79	1.000	0.728	0.843
4.0-6.6	5.4-7.6	123	0	39	79	1.000	0.759	0.863
4.0-6.6	5.4-7.8	131	0	31	79	1.000	0.809	0.894
4.0-6.6	5.4-8.0	136	0	26	79	1.000	0.840	0.913
4.0-6.6	5.4-8.2	138	0	24	79	1.000	0.852	0.920
4.0-6.8	4.8-7.4	130	0	32	79	1.000	0.802	0.890
4.0-6.8	4.8-7.6	133	0	29	79	1.000	0.821	0.902
4.0-6.8	4.8-7.8	137	0	25	79	1.000	0.846	0.916
4.0-6.8	4.8-8.0	138	0	24	79	1.000	0.852	0.920
4.0-6.8	4.8-8.2	139	0	23	79	1.000	0.858	0.924
4.0-6.8	5.0-7.4	130	0	32	79	1.000	0.802	0.890
4.0-6.8	5.0-7.6	133	0	29	79	1.000	0.821	0.902
4.0-6.8	5.0-7.8	137	0	25	79	1.000	0.846	0.916
4.0-6.8	5.0-8.0	138	0	24	79	1.000	0.852	0.920
4.0-6.8	5.0-8.2	139	0	23	79	1.000	0.858	0.924
