product	n_queries	freq_all	freq_with_data	total
putative dock-like region 2, cytokinesis 2 of class a dedicator	1	0.001	0.002	1
40s ribosomal protein s2	1	0.001	0.002	1
aspartic peptidase a1	1	0.001	0.002	1
putative a/g-specific adenine dna glycosylase	1	0.001	0.002	1
c2h2-type zinc-finger protein	1	0.001	0.002	1
cation transport atpase	1	0.001	0.002	1
complex i intermediate-associated protein	1	0.001	0.002	1
beta-glucosidase, glycoside hydrolase family 3 protein	1	0.001	0.002	1
putative oxidoreductase,short chain dehydrogenase	1	0.001	0.002	1
putative kex protein	1	0.001	0.002	2
hnh endonuclease	1	0.001	0.002	1
putative isoamyl alcohol oxidase	1	0.001	0.002	1
hat family dimerization protein	1	0.001	0.002	1
putative aromatic di-alanine and tpr containing protein	1	0.001	0.002	1
helix loop helix dna-binding domain protein	1	0.001	0.002	1
set domain protein	1	0.001	0.002	1
putative 26s proteasome non-atpase regulatory subunit rpn6	1	0.001	0.002	1
gpr1/fun34/yaah family protein	1	0.001	0.002	1
ribosomal rna large subunit methyltransferase j	1	0.001	0.002	1
tfiiic subunit	1	0.001	0.002	1
opt oligopeptide transporter protein	1	0.001	0.002	1
putative p12 domain protein	1	0.001	0.002	1
type iii restriction enzyme	1	0.001	0.002	1
upf0553 protein c	1	0.001	0.002	1
endoplasmic reticulum-intermediate compartment protein	1	0.001	0.002	1
duf2204 family protein	1	0.001	0.002	1
zinc-binding dehydrogenase family oxidoreductase	1	0.001	0.002	1
f-actin capping protein, alpha subunit	1	0.001	0.002	1
ubiquitin-protein ligase	1	0.001	0.002	1
rrna-processing protein fcf2	1	0.001	0.002	1
sterol regulatory element-binding protein cleavage-activating protein	1	0.001	0.002	1
dna repair metallo-beta-lactamase	1	0.001	0.002	1
putative vacuolar dynamin-like gtpase vpsa	1	0.001	0.002	1
syntaxin-like protein	1	0.001	0.002	1
arm domain protein	1	0.001	0.002	1
protoglobin protein	1	0.001	0.002	1
f-box-like domain protein	1	0.001	0.002	1
uncharacterized protein c11d3.15	1	0.001	0.002	1
heat shock protein 30	1	0.001	0.002	1
putative 3-hydroxyacyl-coa dehyrogenase	1	0.001	0.002	1
calcium-transporting atpase 2	1	0.001	0.002	1
puromycin-sensitive aminopeptidase	1	0.001	0.002	1
aminoglycoside phosphotransferase	1	0.001	0.002	1
aegerolysin	1	0.001	0.002	1
histidine phosphatase superfamily, clade-1	1	0.001	0.002	1
protein of unknown function duf4237	1	0.001	0.002	1
ribosomal protein l15, bacterial-type	1	0.001	0.002	1
dor1-like protein	1	0.001	0.002	1
calcium/calmodulin-dependent/calcium-dependent protein kinase	1	0.001	0.002	1
dynamin	1	0.001	0.002	1
fad-dependent pyridine nucleotide-disulfide oxidoreductase	1	0.001	0.002	1
atp-dependent rna helicase ddx55,related	1	0.001	0.002	1
hydroxymethylglutaryl-coa synthase	1	0.001	0.002	1
voltage-gated ion channel (vic) superfamily	1	0.001	0.002	1
histone arginine demethylase	1	0.001	0.002	1
ubx domain-containing protein 1 os=emericella nidulans (strain fgsc a4 / atcc 38163 / cbs 112,46 / nrrl 194 / m139) gn=ubx1 pe=3 sv=1	1	0.001	0.002	1
protein rot1 os=ashbya gossypii (strain atcc 10895 / cbs 109,51 / fgsc 9923 / nrrl y-1056) gn=rot1 pe=3 sv=2	1	0.001	0.002	1
serine/threonine-protein kinase bud32 os=cryptococcus neoformans var, neoformans serotype d (strain b-3501a) gn=bud32 pe=3 sv=1	1	0.001	0.002	1
putative protein yor389w os=saccharomyces cerevisiae (strain atcc 204508 / s288c) gn=yor389w pe=2 sv=1	1	0.001	0.002	1
zinc finger cchc domain-containing protein 8 os=xenopus laevis gn=zcchc8 pe=2 sv=1	1	0.001	0.002	1
sac3 family protein 1 os=schizosaccharomyces pombe (strain 972 / atcc 24843) gn=spcc576,05 pe=1 sv=1	1	0.001	0.002	1
expansin family protein	1	0.001	0.002	1
pathogenesis-related protein 5 os=arabidopsis thaliana gn=at1g75040 pe=1 sv=1	1	0.001	0.002	1
putative wd repeat-containing protein alr3466 os=nostoc sp, (strain pcc 7120 / utex 2576) gn=alr3466 pe=4 sv=1	1	0.001	0.002	1
retrotransposable element tf2 155 kda protein type 1 os=schizosaccharomyces pombe (strain 972 / atcc 24843) gn=tf2-1 pe=4 sv=1	1	0.001	0.002	2
serine/threonine-protein kinase mos os=gallus gallus gn=mos pe=3 sv=1	1	0.001	0.002	1
ras-related protein rab-4b os=mus musculus gn=rab4b pe=2 sv=2	1	0.001	0.002	1
hypothetical protein, variant 1	1	0.001	0.002	1
sua5/ycio/yrdc/ywlc family trna threonylcarbamoyl adenosine modification protein	1	0.001	0.002	1
e1-like protein-activating enzyme gsa7p/apg7p	1	0.001	0.002	1
putative rfed	1	0.001	0.002	1
putative taurine catabolism dioxygenase taud	1	0.001	0.002	1
putative tpr repeat protein	1	0.001	0.002	1
putative protein r338 [acanthamoeba polyphaga mimivirus]	1	0.001	0.002	1
putative transporter c1683,12 [schizosaccharomyces pombe 972h-]	1	0.001	0.002	1
nesprin-2	1	0.001	0.002	1
cysteinyl-trna synthetase	1	0.001	0.002	1
protein p	1	0.001	0.002	1
40s ribosomal protein s2 [urechis caupo]	1	0.001	0.002	1
a/g-specific adenine glycosylase	1	0.001	0.002	1
striatin [mus musculus]	1	0.001	0.002	1
sm-like protein lsm2	1	0.001	0.002	1
cathepsin d	1	0.001	0.002	1
dedicator of cytokinesis protein 3	1	0.001	0.002	1
hemocyanin g-type, units oda to odg [enteroctopus dofleini]	1	0.001	0.002	1
endo-1,4-beta-xylanase	1	0.001	0.002	1
ubx domain-containing protein 1 [aspergillus nidulans fgsc a4]	1	0.001	0.002	1
extracellular metalloprotease vdbg_01143	1	0.001	0.002	1
dna polymerase [human adenovirus 7]	1	0.001	0.002	1
endochitinase 1	1	0.001	0.002	1
sac3 family protein 1 [schizosaccharomyces pombe 972h-]	1	0.001	0.002	1
extracellular metalloprotease glrg_06511	1	0.001	0.002	1
extracellular metalloprotease smac_06893	1	0.001	0.002	2
epoxide hydrolase, putative	1	0.001	0.002	1
putative transporter mch2 [saccharomyces cerevisiae s288c]	1	0.001	0.002	1
valine--trna ligase	1	0.001	0.002	1
autophagy-related protein 9 [penicillium rubens wisconsin 54-1255]	1	0.001	0.002	1
putative protein c26f1,08c [schizosaccharomyces pombe 972h-]	1	0.001	0.002	1
myosin-2	1	0.001	0.002	1
poly(a)+ rna export protein [schizosaccharomyces pombe 972h-]	1	0.001	0.002	1
guanine nucleotide-binding protein alpha-4 subunit [ustilago maydis 521]	1	0.001	0.002	1
kelch repeat-containing protein 2 [saccharomyces cerevisiae s288c]	1	0.001	0.002	1
tip elongation aberrant protein 1	1	0.001	0.002	1
peptidyl-prolyl cis-trans isomerase h	1	0.001	0.002	1
beta-glucosidase	1	0.001	0.002	1
caspase domain-containing protein	1	0.001	0.002	1
anhydro-n-acetylmuramic acid kinase	1	0.001	0.002	1
nadph dehydrogenase	1	0.001	0.002	1
set-domain histone methyltransferase-9	1	0.001	0.002	1
glycosyl hydrolase family 31	1	0.001	0.002	1
catalase-peroxidase	1	0.001	0.002	1
snare-complex protein syntaxin-18	1	0.001	0.002	1
cytochrome p450 3a17	1	0.001	0.002	1
tri10 protein	1	0.001	0.002	1
tri6 protein	1	0.001	0.002	1
tri7 protein	1	0.001	0.002	1
tri8 protein	1	0.001	0.002	1
tri12 protein	1	0.001	0.002	1
tri9 protein	1	0.001	0.002	1
n-acylsphingosine amidohydrolase	1	0.001	0.002	1
tri3 protein	1	0.001	0.002	1
tri4 protein	1	0.001	0.002	1
tri11 protein	1	0.001	0.002	1
tri5 protein	1	0.001	0.002	1
atp-utilizing phosphoenolpyruvate carboxykinase	1	0.001	0.002	1
dak1/degv-like protein	1	0.001	0.002	1
alanyl aminopeptidase	1	0.001	0.002	1
putative aap1-alanine/arginine aminopeptidase	1	0.001	0.002	1
plp-dependent transferase	1	0.001	0.002	1
pig-u-domain-containing protein	1	0.001	0.002	1
prefoldin, subunit 4	1	0.001	0.002	1
multicopper oxidase	1	0.001	0.002	1
putative monooxygenase	1	0.001	0.002	1
glycoside hydrolase family 71 protein	1	0.001	0.002	2
2og-fe oxygenase family protein	1	0.001	0.002	1
fungal specific transcription factor	1	0.001	0.002	1
asp glu hydantoin racemase	1	0.001	0.002	1
nad dependent epimerase dehydratase family protein	1	0.001	0.002	1
hydantoin racemase family (asp/glu/hydantoin racemase)	1	0.001	0.002	1
beta-alanine hydrolase (n-carbamoyl-l-amino acid hydrolase)	1	0.001	0.002	1
high-affinity methionine permease (amino acid permease)	1	0.001	0.002	1
mfs polyamine transporter	1	0.001	0.002	1
nad dependent epimerase/dehydratase family protein	1	0.001	0.002	1
mfs multidrug transporter	1	0.001	0.002	1
nitrogen assimilation transcription factor nira	1	0.001	0.002	1
dak1-domain-containing protein	1	0.001	0.002	1
sgnh hydrolase	1	0.001	0.002	1
ankyrin repeat-containing	1	0.001	0.002	1
ankyrin repeat-containing protein	1	0.001	0.002	1
major facilitator superfamily domain, general substrate transporter	1	0.001	0.002	2
transcription initiation protein spt5	1	0.001	0.002	1
beta-ketoacyl synthase domain-containing protein	1	0.001	0.002	1
4-coumarate-coa ligase 2	1	0.001	0.002	1
pyruvate kinase	1	0.001	0.002	1
trihydrophobin	1	0.001	0.002	1
nad(p)-binding domain protein	1	0.001	0.002	2
phosphatidylserine decarboxylase family protein	1	0.001	0.002	1
methyltransferase type 12	1	0.001	0.002	1
zeta-crystallin	1	0.001	0.002	1
purine nucleoside permease	1	0.001	0.002	1
capsular polysaccharide biosynthesis protein	1	0.001	0.002	1
outer membrane biosynthesis protein tonb	1	0.001	0.002	1
peptidoglycan/xylan/chitin deacetylase (pgda/cda1 family)	1	0.001	0.002	1
celd/bcsl family acetyltransferase involved in cellulose biosynthesis	1	0.001	0.002	1
cell surface glycoprotein	1	0.001	0.002	1
fungal zn binuclear cluster domain containing protein	1	0.001	0.002	1
sda1 domain protein	1	0.001	0.002	1
mitochondrial phosphate carrier protein	1	0.001	0.002	1
serine threonine-protein kinase ssp1	1	0.001	0.002	1
cutinase	1	0.001	0.002	1
uricase	1	0.001	0.002	1
het domain protein	1	0.001	0.002	1
kelch repeat protein	1	0.001	0.002	1
kinesin light chain	1	0.001	0.002	2
cytosolic regulator pianissimo	1	0.001	0.002	1
dna-directed rna polymerases n 8 kda subunit superfamily	1	0.001	0.002	1
wd domain protein	1	0.001	0.002	1
inversin o89019	1	0.001	0.002	1
mitochondrial 54s ribosomal protein 23	1	0.001	0.002	1
atp-dependent protease	1	0.001	0.002	1
atp-dependent rna helicase eif4a	1	0.001	0.002	1
related to dal81-transcriptional activator for allantoin and gaba catabolic genes	1	0.001	0.002	1
probable short chain dehydrogenase	1	0.001	0.002	1
related to cupin domain protein	1	0.001	0.002	1
related to beta-1,3 exoglucanase precursor	1	0.001	0.002	1
related to sterigmatocystin 7-o-methyltransferase precursor	1	0.001	0.002	1
related to chitin synthase/hyaluronan synthase (glycosyltransferases)	1	0.001	0.002	1
probable 2-polyprenyl-6-methoxyphenol hydroxylase and related fad-dependent oxidoreductases	1	0.001	0.002	1
related to monooxygenase	1	0.001	0.002	1
related to c6 and c2h2 transcription factor rega-like	1	0.001	0.002	1
related to uracil permease	1	0.001	0.002	1
related to methyltransferase	1	0.001	0.002	1
transmembrane 9 superfamily member 1	1	0.001	0.002	1
atp-dependent dna helicase recq	1	0.001	0.002	1
tyrosine--trna ligase	1	0.001	0.002	1
protein hob3	1	0.001	0.002	1
transmembrane 9 superfamily member 2	1	0.001	0.002	1
rod shape-determining protein roda	1	0.001	0.002	1
rod shape-determining protein mred	1	0.001	0.002	1
metal-binding protein	1	0.001	0.002	1
rod shape-determining protein mrec	1	0.001	0.002	1
b12-binding domain-containing radical sam protein	1	0.001	0.002	1
penicillin-binding protein 2	1	0.001	0.002	1
related to tetracycline efflux protein (otrb)	1	0.001	0.002	1
related to potential drug facilitator pep5	1	0.001	0.002	1
related to alkaline protease (oryzin)	1	0.001	0.002	1
related to scytalone dehydratase	1	0.001	0.002	1
related to peroxisomal short-chain alcohol dehydrogenase	1	0.001	0.002	1
related to cutinase transcription factor 1 beta	1	0.001	0.002	1
related to aminotriazole resistance protein	1	0.001	0.002	1
related to aldehyde dehydrogenase (nad+), mitochondrial	1	0.001	0.002	1
related to zinc-containing long-chain alcohol dehydrogenase	1	0.001	0.002	1
probable oleate hydratase	1	0.001	0.002	1
related to pisatin demethylase cytochrome p450	1	0.001	0.002	1
related to g protein coupled receptor like protein	1	0.001	0.002	1
acetyl-coa acetyltransferase	1	0.001	0.002	1
malate dehydrogenase, mitochondrial precursor	1	0.001	0.002	1
protein zinc induced facilitator 1	1	0.001	0.002	2
dna partial	1	0.001	0.002	1
winged helix dna-binding domain-containing partial	1	0.001	0.002	1
latency-associated nuclear antigen	1	0.001	0.002	1
dna helicase	1	0.001	0.002	1
nucleolar gtp-binding protein 1	1	0.001	0.002	1
transcriptional repressor tup1-like protein	1	0.001	0.002	1
fatty-acid-coa ligase	1	0.001	0.002	2
glycyl-trna synthetase	1	0.001	0.002	1
delta-1-pyrroline-5-carboxylate synthetase	1	0.001	0.002	1
serine/threonine kinase	1	0.001	0.002	1
dna polymerase alpha catalytic subunit	1	0.001	0.002	1
lipase domain protein	1	0.001	0.002	1
alkaline ceramidase family protein	1	0.001	0.002	1
pyruvate/phosphoenolpyruvate kinase-like domain-containing protein	1	0.001	0.002	1
fungal-specific transcription factor domain-domain-containing protein	1	0.001	0.002	1
bacterioferritin	1	0.001	0.002	1
branched-chain amino acid abc transporter substrate-binding protein	1	0.001	0.002	1
amino acid abc transporter permease	1	0.001	0.002	2
crm1 c terminal exportin 1-like protein	1	0.001	0.002	1
ice nucleation protein	1	0.001	0.002	1
phosphoglycerate mutase family protein	1	0.001	0.002	1
mfs phospholipid transporter git	1	0.001	0.002	1
enoyl-coa hydratase	1	0.001	0.002	1
cytochrome p	1	0.001	0.002	1
helicase c	1	0.001	0.002	1
hexokinase	1	0.001	0.002	1
ca2+-transporting atpase	1	0.001	0.002	1
cohesin complex subunit scc1	1	0.001	0.002	1
u3 small nucleolar rna-associated protein 18	1	0.001	0.002	1
amt family ammonium transporter	1	0.001	0.002	1
nad-dependent histone deacetylase sir2	1	0.001	0.002	1
related to casein kinase i cki2	1	0.001	0.002	1
related to regulatory subunit of protein phosphatase-1	1	0.001	0.002	1
related to nicotinamide mononucleotide permease	1	0.001	0.002	1
related to fructose-2,6-bisphosphate 2-phosphatase	1	0.001	0.002	1
related to arp5-actin-related protein	1	0.001	0.002	1
partitioning defective 6-like gamma	1	0.001	0.002	1
cytochrome p450 1a1	1	0.001	0.002	1
maestro heat-like repeat-containing protein family member 1	1	0.001	0.002	1
arrestin domain-containing protein 3	1	0.001	0.002	1
uncharacterized protein c18orf63	1	0.001	0.002	1
adrenocortical dysplasia protein-like	1	0.001	0.002	1
short transient receptor potential channel 3	1	0.001	0.002	1
fatty acid synthase	1	0.001	0.002	1
zinc finger protein 208	1	0.001	0.002	1
related to light induced alcohol dehydrogenase bli-4	1	0.001	0.002	1
related to tetracycline resistance protein from transposon tn4351/tn4400	1	0.001	0.002	1
related to 3^-phosphoadenosine 5^-phosphosulfate sulfotransferase (paps reductase)/fad synthetase and related enzymes	1	0.001	0.002	1
probable sulfate adenylyltransferase	1	0.001	0.002	1
related to hydroxymethylglutaryl-coa lyase	1	0.001	0.002	1
methionine aminopeptidase	1	0.001	0.002	1
aromatic amino acid lyase	1	0.001	0.002	1
fad-dependent oxygenase	1	0.001	0.002	2
phenolic acid decarboxylase subunit b	1	0.001	0.002	1
cof synthetase	1	0.001	0.002	1
yop-1	1	0.001	0.002	1
mating pheromone-induced death-1	1	0.001	0.002	1
rfx dna-binding domain-containing protein	1	0.001	0.002	1
putative abc multidrug transporter	1	0.001	0.002	1
putative exo-1,4-beta-xylosidase xlnd	1	0.001	0.002	1
rraa-like protein	1	0.001	0.002	1
estradiol 17-beta-dehydrogenase 12-a	1	0.001	0.002	1
purine and uridine phosphorylase	1	0.001	0.002	1
2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase	1	0.001	0.002	1
class i glutamine amidotransferase-like protein	1	0.001	0.002	1
pantothenate transporter	1	0.001	0.002	1
ankyrin-1	1	0.001	0.002	1
extended synaptotagmin-2	1	0.001	0.002	1
myb-like protein dna-binding protein bas1	1	0.001	0.002	1
sodium/potassium-transporting atpase subunit alpha-2	1	0.001	0.002	1
lipase a	1	0.001	0.002	1
isotrichodermin c-15 hydroxylase	1	0.001	0.002	1
glucan 1,3-beta-glucosidase	1	0.001	0.002	1
ustiloxin b cluster transcription factor ustr	1	0.001	0.002	1
nmra-like protein family domain-containing protein 1	1	0.001	0.002	1
secondary metabolism regulator lae1	1	0.001	0.002	1
putative xanthine/uracil permease	1	0.001	0.002	1
benzoate 4-monooxygenase cytochrome-like protein p450	1	0.001	0.002	1
polysaccharide lyase family 1 protein	1	0.001	0.002	1
pebp-like protein	1	0.001	0.002	1
protein phosphatase	1	0.001	0.002	1
l-rhamnose mutarotase	1	0.001	0.002	1
type iii polyketide synthase	1	0.001	0.002	1
40s ribosomal protein s10-like protein	1	0.001	0.002	1
aspartyl-trna synthetase	1	0.001	0.002	1
upf0658 golgi apparatus membrane protein	1	0.001	0.002	1
atpase-like, atp-binding domain protein	1	0.001	0.002	1
nitrate assimilation regulatory protein nira	1	0.001	0.002	1
cytochrome p450 55a3	1	0.001	0.002	1
sam-dependent methyltransferase	1	0.001	0.002	1
pepsinogen c	1	0.001	0.002	1
rnase h domain protein	1	0.001	0.002	1
zinc knuckle	1	0.001	0.002	1
aspartate glutamate racemase	1	0.001	0.002	1
putative alpha-l-arabinofuranosidase b	1	0.001	0.002	1
glutamine-dependent nad(+) synthetase with gat domain-containing protein	1	0.001	0.002	1
hus1-like protein	1	0.001	0.002	1
nadh-ubiquinone oxidoreductase 12 kda subunit mitochondrial precursor	1	0.001	0.002	1
ibr-domain-containing protein	1	0.001	0.002	1
gtpase-activating protein	1	0.001	0.002	1
cryptochrome-2	1	0.001	0.002	1
transcription factor tfiiib component b	1	0.001	0.002	1
putative nrps-like protein biosynthetic cluster	1	0.001	0.002	1
het-s domain-containing	1	0.001	0.002	1
camk kinase	1	0.001	0.002	1
salicylate hydroxylase	1	0.001	0.002	1
small s	1	0.001	0.002	1
beta-mannosidase	1	0.001	0.002	1
gentisate 1,2-dioxygenase	1	0.001	0.002	1
ankyrin repeat	1	0.001	0.002	1
phosphatidylserine decarboxylase proenzyme	1	0.001	0.002	1
macro domain-containing protein	1	0.001	0.002	1
nucleotidyltransferase	1	0.001	0.002	1
choline transporter	1	0.001	0.002	1
flavin-nucleotide-binding protein	1	0.001	0.002	1
maoc family dehydratase	1	0.001	0.002	1
protein meaa	1	0.001	0.002	1
cdp-diacylglycerol--serine o-phosphatidyltransferase	1	0.001	0.002	1
glycerate kinase	1	0.001	0.002	1
phthalate 4,5-dioxygenase	1	0.001	0.002	1
nudix hydrolase	1	0.001	0.002	1
coa ester lyase	1	0.001	0.002	1
crotonyl-coa reductase	1	0.001	0.002	1
dna-3-methyladenine glycosylase	1	0.001	0.002	1
zinc c2h2	1	0.001	0.002	1
bar-domain-containing protein	1	0.001	0.002	1
ssu ribosomal protein s9p	1	0.001	0.002	1
n-terminal nucleophile aminohydrolase	1	0.001	0.002	1
carbohydrate kinase	1	0.001	0.002	1
amino acid/polyamine/organocation transporter, apc superfamily	1	0.001	0.002	1
temperature dependent protein affecting m2 dsrna replication-domain-containing protein	1	0.001	0.002	1
vesicle transport v-snare protein vti1	1	0.001	0.002	1
ribosomal rna-processing protein 12	1	0.001	0.002	1
cytochrome c oxidase assembly protein cox11	1	0.001	0.002	1
meiotically up-regulated gene 190 protein	1	0.001	0.002	1
60s ribosomal protein	1	0.001	0.002	1
histone-lysine n-methyltransferase ash1	1	0.001	0.002	1
glutamate-5-semialdehyde dehydrogenase	1	0.001	0.002	1
cytochrome b translational activator protein cbs2	1	0.001	0.002	1
valine--trna ligase, mitochondrial	1	0.001	0.002	1
putative sterigmatocystin biosynthesis p450 monooxygenase	1	0.001	0.002	1
lpxtg-motif cell wall-anchored protein	1	0.001	0.002	1
core-2/i-branching enzyme	1	0.001	0.002	1
lmbe family n-acetylglucosaminyl deacetylase	1	0.001	0.002	1
tyrosinase co-factor melc1	1	0.001	0.002	1
putative colanic acid biosynthesis acetyltransferase wcaf	1	0.001	0.002	1
had-like domain-containing protein	1	0.001	0.002	1
dehydrogenase e1 and transketolase domain-containing protein 1	1	0.001	0.002	1
unc-like c-terminal-domain-containing protein	1	0.001	0.002	1
putative 3-hydroxybutyryl-coa dehydrogenase	1	0.001	0.002	1
norsolorinic acid reductase b	1	0.001	0.002	1
protein per1-like protein	1	0.001	0.002	1
leucine-rich repeat and death domain-containing protein 1	1	0.001	0.002	1
vacuolar protein sorting-associated protein 35	1	0.001	0.002	1
cyclin-l2	1	0.001	0.002	1
putative effector protein	1	0.001	0.002	2
yqey-like protein-domain-containing protein	1	0.001	0.002	1
ribosomal protein l14-domain-containing protein	1	0.001	0.002	1
vesicle transport protein	1	0.001	0.002	1
glycoprotease family-domain-containing protein	1	0.001	0.002	1
amidohydrolase family-domain-containing protein	1	0.001	0.002	1
guanine nucleotide binding protein beta subunit	1	0.001	0.002	1
atp-nad kinase-like domain-containing protein	1	0.001	0.002	1
snf2 family n-terminal domain-containing protein	1	0.001	0.002	1
polysaccharide lyase family 8 protein	1	0.001	0.002	1
40s ribosomal protein s26	1	0.001	0.002	1
endonuclease 3	1	0.001	0.002	1
transport protein	1	0.001	0.002	2
valyl-trna synthetase	1	0.001	0.002	1
tyrosyl-trna synthetase	1	0.001	0.002	1
j domain-containing protein c3e7,11c	1	0.001	0.002	1
trna-splicing endonuclease subunit sen54	1	0.001	0.002	1
alpha/beta hydrolase family domain-containing protein	1	0.001	0.002	1
dihydroxy-acid dehydratase	1	0.001	0.002	1
eukaryotic translation initiation factor 3 subunit l	1	0.001	0.002	1
tpr and ankyrin repeat-containing protein 1	1	0.001	0.002	1
nucleoporin	1	0.001	0.002	1
nadh flavin oxidoreductase/nadh oxidase	1	0.001	0.002	1
muscle m-line assembly protein unc-89	1	0.001	0.002	1
sister chromatid cohesion-related protein	1	0.001	0.002	1
conserved oligomeric golgi complex subunit 4	1	0.001	0.002	1
type 2a phosphatase-associated protein 42	1	0.001	0.002	1
pumilio like domain containing protein	1	0.001	0.002	1
metaphase-anaphase transition protein (mlo2)	1	0.001	0.002	1
argonaute-like protein	1	0.001	0.002	1
autophagy-related protein	1	0.001	0.002	1
cupin domain containing protein	1	0.001	0.002	1
vacuolar protein sorting-associated protein 11-like protein	1	0.001	0.002	1
putative inositol polyphosphate kinase	1	0.001	0.002	1
nitrilase	1	0.001	0.002	1
fad monooxygenase-like protein	1	0.001	0.002	1
putative metalloprotease	1	0.001	0.002	1
glutamine synthetase	1	0.001	0.002	1
putative oxidoreductase fixc	1	0.001	0.002	1
clostripain family protein	1	0.001	0.002	1
patatin-like phospholipase	1	0.001	0.002	1
putative ferritin-1	1	0.001	0.002	1
acryloyl-coa reductase electron transfer subunit beta	1	0.001	0.002	1
polyphosphate kinase 2 (ppk2)	1	0.001	0.002	1
acryloyl-coa reductase electron transfer subunit gamma	1	0.001	0.002	1
ras-related gtp-binding protein-like protein c	1	0.001	0.002	1
oxalate decarboxylase oxdd	1	0.001	0.002	1
rho-type gtpase-activating protein-like protein	1	0.001	0.002	1
short-chain dehydrogenase/reductase sdr	1	0.001	0.002	1
deuterolysin m35 metalloprotease	1	0.001	0.002	1
eukaryotic cytochrome b561 protein	1	0.001	0.002	1
uch domain-containing protein	1	0.001	0.002	1
ubiquitin carboxyl-terminal hydrolase	1	0.001	0.002	1
3-hydroxyisobutyrate dehydrogenase	1	0.001	0.002	1
nad-dependent epimerase/dehydratase family protein	1	0.001	0.002	1
opt oligopeptide transporter	1	0.001	0.002	1
protein kinase a	1	0.001	0.002	1
fad-binding protein	1	0.001	0.002	1
atp-binding protein	1	0.001	0.002	2
putative aaa family atpase	1	0.001	0.002	1
vacuolar protein 8	1	0.001	0.002	1
gpi biosynthesis protein pig-f	1	0.001	0.002	1
ribosomal protein l22e	1	0.001	0.002	1
translin	1	0.001	0.002	1
signal recognition particle 9 kda protein-domain-containing protein	1	0.001	0.002	1
plc-like phosphodiesterase	1	0.001	0.002	1
geranylgeranyl diphosphate synthase	1	0.001	0.002	1
cytochrome p450, family 1, subfamily a, polypeptide 1	1	0.001	0.002	1
centrosomal protein cep89	1	0.001	0.002	5
hypothetical predicted protein	1	0.001	0.002	4
glutamate receptor ionotropic, nmda 1	1	0.001	0.002	1
duf1740-domain-containing protein	1	0.001	0.002	1
ferredoxin	1	0.001	0.002	1
isochorismatase family protein	1	0.001	0.002	1
duf541 domain-containing protein	1	0.001	0.002	1
spoiie family protein phosphatase	1	0.001	0.002	1
keratin-associated protein 5-4	1	0.001	0.002	1
class v	1	0.001	0.002	1
thymidine phosphorylase	1	0.001	0.002	1
cytidine deaminase	1	0.001	0.002	1
dna-directed rna polymerase subunit beta	1	0.001	0.002	1
simple sugar transport system permease protein	1	0.001	0.002	2
dna-binding csgd family transcriptional regulator	1	0.001	0.002	1
basic membrane protein a	1	0.001	0.002	1
putative mfs family arabinose efflux permease	1	0.001	0.002	1
ppox class probable f420-dependent enzyme	1	0.001	0.002	1
para-nitrobenzyl esterase	1	0.001	0.002	1
simple sugar transport system atp-binding protein	1	0.001	0.002	1
dna-binding sarp family transcriptional activator	1	0.001	0.002	1
fad/fmn-containing dehydrogenase	1	0.001	0.002	2
llm class f420-dependent oxidoreductase	1	0.001	0.002	1
histidine ammonia-lyase	1	0.001	0.002	1
ubid-like decarboxylase	1	0.001	0.002	1
d-hydantoinase	1	0.001	0.002	1
upf0658 golgi apparatus membrane protein c23h3.04	1	0.001	0.002	1
streptothricin-acetyltransferase	1	0.001	0.002	1
bifunctional 4-hydroxyphenylacetate degradation enzyme	1	0.001	0.002	1
1-phosphatidylinositol-45-bisphosphate phosphodiesterase 1	1	0.001	0.002	1
cupin domain-containing	1	0.001	0.002	1
thermitase	1	0.001	0.002	1
transporter acls	1	0.001	0.002	1
sterigmatocystin biosynthesis monooxygenase stcb	1	0.001	0.002	1
glycoside hydrolase family 18	1	0.001	0.002	1
mitogen-activated kinase	1	0.001	0.002	1
heterokaryon incompatibility 6 or allele	1	0.001	0.002	1
cell wall beta-glucan synthesis	1	0.001	0.002	1
lysine specific demethylase 4c	1	0.001	0.002	1
extracellular gdsl-like lipase	1	0.001	0.002	1
1-phosphatidylinositol-4 5-bisphosphate phosphodiesterase 1	1	0.001	0.002	1
neutral alkaline non-lysosomal ceramidase	1	0.001	0.002	1
cupin domain protein	1	0.001	0.002	1
transcriptional activator soma	1	0.001	0.002	1
sporozoite surface 2 precursor protein	1	0.001	0.002	1
nad dependent epimerase	1	0.001	0.002	1
adhesion defective 3	1	0.001	0.002	1
serine-type carboxypeptidase	1	0.001	0.002	1
cmgc kinase	1	0.001	0.002	1
afli avfa cytochrome p450 monooxygenase	1	0.001	0.002	1
transcription activator acu-15	1	0.001	0.002	1
esterase lipase	1	0.001	0.002	1
tetracycline efflux transporter	1	0.001	0.002	1
cytochrome-b5 reductase	1	0.001	0.002	1
pfs domain-containing protein	1	0.001	0.002	1
fumarylacetoacetate hydrolase family	1	0.001	0.002	1
atp-dependent dna helicase	1	0.001	0.002	2
saicar synthetase	1	0.001	0.002	1
zn(2)-c6 fungal-type domain-containing protein	1	0.001	0.002	1
peptidase s53 domain-containing protein	1	0.001	0.002	1
eukaryotic translation initiation factor 3 subunit m	1	0.001	0.002	1
b box-type domain-containing protein	1	0.001	0.002	1
