product	n_queries	freq_all	freq_with_data	total
benzoate 4-monooxygenase cytochrome p450	4	0.004	0.009	4
inositol polyphosphate kinase	4	0.004	0.009	4
related to phospholipid-translocating atpase	4	0.004	0.009	4
monooxygenase	4	0.004	0.009	4
laci family transcriptional regulator	4	0.004	0.009	5
transporter	4	0.004	0.009	6
dynamin family protein	4	0.004	0.009	5
cytochrome p450 oxidoreductase	4	0.004	0.009	4
methyltransferase	4	0.004	0.009	4
fad/nad(p)-binding domain-containing protein	4	0.004	0.009	4
polysaccharide deacetylase family protein	4	0.004	0.009	4
het-domain-containing protein	4	0.004	0.009	5
6-hydroxy-d-nicotine oxidase	4	0.004	0.009	4
ankyrin	4	0.004	0.009	5
high-affinity methionine permease	4	0.004	0.009	4
1-phosphatidylinositol-4 5-bisphosphate phosphodiesterase	4	0.004	0.009	4
glycoside hydrolase family 92 protein	4	0.004	0.009	4
cbs-domain-containing protein	4	0.004	0.009	4
rmlc-like cupin domain-containing protein	4	0.004	0.009	4
dj-1/pfpi family protein	4	0.004	0.009	4
spoc like c-terminal domain-containing protein	4	0.004	0.009	4
vps53-like protein	4	0.004	0.009	4
gamma-tubulin complex, dgrip91/spc98 component protein	4	0.004	0.009	4
phosphatase 2c-like domain-containing protein	4	0.004	0.009	4
endonuclease/exonuclease/phosphatase	4	0.004	0.009	4
exocyst complex component sec10-like protein	4	0.004	0.009	4
moab/mog domain-containing protein	4	0.004	0.009	4
heterokaryon incompatibility protein	4	0.004	0.009	4
phosphoglycerate mutase-like protein	4	0.004	0.009	4
laci family dna-binding transcriptional regulator	4	0.004	0.009	4
amp-binding protein	4	0.004	0.009	4
tetr/acrr family transcriptional regulator	4	0.004	0.009	4
luxr c-terminal-related transcriptional regulator	4	0.004	0.009	4
abc transporter permease	4	0.004	0.009	6
uroporphyrin-iii c-methyltransferase	3	0.003	0.007	3
acyl-coa n-acyltransferase	3	0.003	0.007	5
tetratricopeptide repeat protein	3	0.003	0.007	3
polysaccharide deacetylase	3	0.003	0.007	3
hhe domain protein	3	0.003	0.007	3
arm repeat-containing protein	3	0.003	0.007	3
amino acid transporter	3	0.003	0.007	3
ankyrin repeat protein	3	0.003	0.007	3
related to tri7-trichothecene biosynthesis gene cluster	3	0.003	0.007	3
related to udp-galactopyranose mutase	3	0.003	0.007	3
probable bas1-transcription factor	3	0.003	0.007	3
related to ysc84-protein involved in the organization of the actin cytoskeleton	3	0.003	0.007	3
related to alcohol oxidase	3	0.003	0.007	3
related to dis1-suppressing protein kinase dsk1	3	0.003	0.007	3
related to heterokaryon incompatibility protein (het-6or allele)	3	0.003	0.007	3
related to pmr1-ca++-transporting p-type atpase located in golgi	3	0.003	0.007	3
related to 1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase	3	0.003	0.007	3
related to thermostable alkaline protease precursor	3	0.003	0.007	3
related to oxidoreductase, short chain dehydrogenase/reductase family	3	0.003	0.007	3
related to formaldehyde dehydrogenase	3	0.003	0.007	3
atp-dependent rna helicase dbp10	3	0.003	0.007	3
putative nadh cytb-reductase	3	0.003	0.007	3
oxalate decarboxylase	3	0.003	0.007	3
aromatic compound dioxygenase	3	0.003	0.007	3
2-amino-4,5-dihydroxy-6-one-heptanoic acid-7-phosphate synthase	3	0.003	0.007	3
3-dehydroquinate synthase ii family protein	3	0.003	0.007	3
copper transporter	3	0.003	0.007	3
ubid family decarboxylase	3	0.003	0.007	3
putative cytochrome p450	3	0.003	0.007	3
aldehyde dehydrogenase	3	0.003	0.007	3
aldo/keto reductase	3	0.003	0.007	3
sdr family nad(p)-dependent oxidoreductase	3	0.003	0.007	3
abc transporter atp-binding protein	3	0.003	0.007	3
merr family transcriptional regulator	3	0.003	0.007	4
2og-fe(ii)oxygenase superfamily protein	3	0.003	0.007	3
trichothecene c-15 hydroxylase	3	0.003	0.007	3
trichothecene efflux pump	3	0.003	0.007	3
upf0658 golgi apparatus membrane	3	0.003	0.007	3
clavaminate synthase-like protein	3	0.003	0.007	5
rho-type gtpase-activating protein 1	3	0.003	0.007	3
26s proteasome regulatory subunit rpn6	3	0.003	0.007	3
class v myosin	3	0.003	0.007	3
autophagy protein apg9	3	0.003	0.007	3
set domain containing protein	3	0.003	0.007	3
fusaric acid resistance-like protein	3	0.003	0.007	3
putative effector protein/tyrosinase	3	0.003	0.007	3
fad-dependent oxidoreductase	3	0.003	0.007	3
som1	3	0.003	0.007	3
serine-type carboxypeptidase f precursor	3	0.003	0.007	3
2-amino-4, 5-dihydroxy-6-oxo-7-(phosphonooxy)heptanoate synthase	3	0.003	0.007	3
fructose-bisphosphate aldolase	3	0.003	0.007	3
mannose-specific lectin	3	0.003	0.007	3
dna excision repair ercc-3	3	0.003	0.007	3
permease of the major facilitator superfamily	3	0.003	0.007	3
het domain-containing protein	3	0.003	0.007	3
fumarylacetoacetate hydrolase	3	0.003	0.007	3
1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase	3	0.003	0.007	4
dnaj domain-containing protein	3	0.003	0.007	3
isoflavone reductase family protein	3	0.003	0.007	3
abc bile acid transporter	3	0.003	0.007	3
wd repeat domain-containing protein	3	0.003	0.007	3
duf3344 domain-containing protein	3	0.003	0.007	3
o-antigen ligase family protein	3	0.003	0.007	3
single-stranded dna-binding protein	3	0.003	0.007	3
glycosyltransferase	3	0.003	0.007	6
peptide methionine sulfoxide reductase msra	3	0.003	0.007	3
acetyl-coa synthetase-like protein	3	0.003	0.007	3
translation initiation factor eif3 subunit	3	0.003	0.007	3
averantin oxidoreductase	3	0.003	0.007	3
phosphotyrosyl phosphatase activator	3	0.003	0.007	3
carbamoyl-phosphate synthase	3	0.003	0.007	3
6-phosphofructo-2-kinase-domain-containing protein	3	0.003	0.007	3
ctd kinase subunit gamma ctk3-domain-containing protein	3	0.003	0.007	3
histone-fold-containing protein	3	0.003	0.007	3
mu-type opioid receptor	3	0.003	0.007	3
methyltransferase domain-containing protein	3	0.003	0.007	3
ribonuclease h-like protein	3	0.003	0.007	3
d-alanyl-d-alanine carboxypeptidase	3	0.003	0.007	3
carboxylesterase family protein	3	0.003	0.007	3
gpp34 family phosphoprotein	3	0.003	0.007	3
nadph-dependent f420 reductase	3	0.003	0.007	3
glycosyltransferase family 90 protein	3	0.003	0.007	3
btad domain-containing putative transcriptional regulator	3	0.003	0.007	3
atp-binding cassette domain-containing protein	3	0.003	0.007	3
endoglucanase b	2	0.002	0.005	2
isoamyl alcohol oxidase	2	0.002	0.005	2
o-phosphoseryl-trna(sec) selenium transferase	2	0.002	0.005	2
sodium/hydrogen exchanger 3	2	0.002	0.005	2
glyoxalase/bleomycin resistance protein/dioxygenase	2	0.002	0.005	2
putative meiotic coiled-coil protein	2	0.002	0.005	2
sn-1,2-diacylglycerol ethanolamine- and cholinephosphotransferase	2	0.002	0.005	2
rta1-domain protein	2	0.002	0.005	2
putative short-chain dehydrogenase/reductase	2	0.002	0.005	2
putative endo-rhamnogalacturonase	2	0.002	0.005	2
carboxypeptidase c	2	0.002	0.005	2
endonuclease/exonuclease/phosphatase family protein	2	0.002	0.005	2
fungal specific transcription factor domain protein	2	0.002	0.005	2
eukaryotic translation initiation factor 3 subunit	2	0.002	0.005	2
o-phosphoseryl-trna(sec) selenium transferase-like	2	0.002	0.005	2
monovalent cation:proton antiporter-1 (cpa1) family	2	0.002	0.005	2
tyrosinase os=streptomyces antibioticus gn=melc2 pe=3 sv=2	2	0.002	0.005	2
armadillo repeat-containing protein 8 os=danio rerio gn=armc8 pe=2 sv=1	2	0.002	0.005	2
tpr and ankyrin repeat-containing protein 1 os=homo sapiens gn=trank1 pe=2 sv=4	2	0.002	0.005	2
udp-glycosyltransferase 85a1	2	0.002	0.005	2
putative protein mb0912 [mycobacterium bovis af2122/97]	2	0.002	0.005	3
pectate lyase e	2	0.002	0.005	2
ammonium transporter 1 [schizosaccharomyces pombe 972h-]	2	0.002	0.005	2
sorting nexin-4	2	0.002	0.005	2
cingulin [xenopus (silurana) tropicalis]	2	0.002	0.005	2
5-hydroxyisourate hydrolase	2	0.002	0.005	2
dna-directed rna polymerase ii subunit b	2	0.002	0.005	2
ethanolaminephosphotransferase	2	0.002	0.005	2
chitin synthase	2	0.002	0.005	2
asparaginase	2	0.002	0.005	2
aminotransferase class-iii	2	0.002	0.005	2
tannase	2	0.002	0.005	2
proteasome maturation factor ump1	2	0.002	0.005	2
beta-1,6-galactanase	2	0.002	0.005	2
mcm-domain-containing protein	2	0.002	0.005	2
homeobox-domain-containing protein	2	0.002	0.005	2
tubulin binding cofactor a	2	0.002	0.005	2
isocitrate lyase and phosphorylmutase	2	0.002	0.005	2
yippee-domain-containing protein	2	0.002	0.005	2
zinc finger protein 585a	2	0.002	0.005	2
transposase	2	0.002	0.005	3
tricarboxylate transport protein	2	0.002	0.005	2
2og-fe(ii) oxygenase family protein	2	0.002	0.005	2
endo-1,4-beta-glucanase	2	0.002	0.005	2
c6 zinc finger domain protein	2	0.002	0.005	2
pathway-specific nitrogen regulator	2	0.002	0.005	4
glycosyltransferase involved in cell wall biosynthesis	2	0.002	0.005	2
putative membrane protein	2	0.002	0.005	2
