product	n_queries	freq_of_all_queries	freq_of_queries_with_neighbours	total_occurrences	closest_offset
ankyrin repeat-containing protein	1	0.006	0.011	1	8
glycoside hydrolase family 93 protein	1	0.006	0.011	1	8
6-hydroxy-d-nicotine oxidase	1	0.006	0.011	1	5
abc transporter fgm5	1	0.006	0.011	1	1
scytalone dehydratase	1	0.006	0.011	1	9
lanosterol synthase (oxidosqualene--lanosterol cyclase)	1	0.006	0.011	1	5
endodeoxyribonuclease	1	0.006	0.011	1	6
monooxygenase	1	0.006	0.011	1	1
protein of unknown function duf3328	1	0.006	0.011	1	7
fad binding domain-containing protein	1	0.006	0.011	1	6
putative cytochrome p450	1	0.006	0.011	1	5
putative chitin-binding, type 1, nodb domain, glycoside hydrolase/deacetylase, beta/alpha-barrel	1	0.006	0.011	1	7
putative ankyrin repeat-containing domain superfamily, basic-leucine zipper domain superfamily	1	0.006	0.011	1	4
putative major facilitator superfamily, mfs transporter superfamily	1	0.006	0.011	1	10
putative fad-binding domain, fad/nad(p)-binding domain superfamily	1	0.006	0.011	1	6
putative sirtuin family, dhs-like nad/fad-binding domain superfamily	1	0.006	0.011	1	9
putative metal-dependent hydrolase, composite domain superfamily	1	0.006	0.011	1	6
putative amidase	1	0.006	0.011	1	9
putative peptidase m43, pregnancy-associated plasma-a	1	0.006	0.011	1	7
putative rta-like protein	1	0.006	0.011	1	8
putative mycotoxin biosynthesis protein ustya	1	0.006	0.011	1	3
putative pre-mrna-splicing factor 38	1	0.006	0.011	1	10
putative alpha/beta hydrolase-1, fumarylacetoacetase-like protein	1	0.006	0.011	1	5
putative protein kinase	1	0.006	0.011	1	4
putative s-adenosyl-l-methionine-dependent methyltransferase superfamily	1	0.006	0.011	1	8
putative peptidase m3a/m3b catalytic domain, neurolysin/thimet oligopeptidase, domain 2	1	0.006	0.011	1	1
baeyer-villiger monooxygenase	1	0.006	0.011	1	5
putative beta-glucosidase d	1	0.006	0.011	1	1
di-copper centre-containing protein	1	0.006	0.011	1	1
glutamate--ammonia ligase	1	0.006	0.011	1	6
n-acetylglucosaminyldiphosphodolichol n-acetylglucosaminyltransferase catalytic subunit alg13	1	0.006	0.011	1	8
translation factor guf1 mitochondrial	1	0.006	0.011	1	10
37s ribosomal protein s24, mitochondrial	1	0.006	0.011	1	9
zinc finger domain-containing protein	1	0.006	0.011	1	3
cytochrome p450 cyp550b5	1	0.006	0.011	1	7
glycoside hydrolase family 76	1	0.006	0.011	1	2
chloramphenicol acetyltransferase-like domain protein	1	0.006	0.011	1	7
lysozyme	1	0.006	0.011	1	10
tri14-like protein	1	0.006	0.011	1	5
amino acid adenylation	1	0.006	0.011	1	8
cytochrome p450 cyp68n3	1	0.006	0.011	1	6
protein kinase domain-containing protein	1	0.006	0.011	1	6
acyl carrier protein-like protein	1	0.006	0.011	1	9
heterokaryon incompatibility	1	0.006	0.011	1	9
major intrinsic protein	1	0.006	0.011	1	5
epoxide hydrolase	1	0.006	0.011	1	1
3-carboxymuconate cyclase	1	0.006	0.011	1	8
related to tam domain methyltransferase	1	0.006	0.011	1	8
related to 3-hydroxyacyl-coa dehydratase	1	0.006	0.011	1	6
related to heterokaryon incompatibility protein (het-6or allele)	1	0.006	0.011	1	7
