pfam_id	pfam_name	n_queries	freq_of_all_queries	freq_of_queries_with_pfam	total_occurrences
PF04145	Ctr copper transporter family	1	0.006	0.008	1
PF08022	FAD-binding domain	1	0.006	0.008	1
PF08030	Ferric reductase NAD binding domain	1	0.006	0.008	1
PF01794	Ferric reductase like transmembrane component	1	0.006	0.008	2
PF15892	BNR repeat-containing family member	1	0.006	0.008	1
PF13522	Glutamine amidotransferase domain	1	0.006	0.008	1
PF19086	Terpene synthase family 2, C-terminal metal binding	1	0.006	0.008	1
PF13391	HNH endonuclease	1	0.006	0.008	2
PF01873	Domain found in IF2B/IF5	1	0.006	0.008	1
PF14497	Glutathione S-transferase, C-terminal domain	1	0.006	0.008	1
PF24173	TTI1 N-terminal TPR domain	1	0.006	0.008	1
PF02581	Thiamine monophosphate synthase	1	0.006	0.008	1
PF24181	TTI1 C-terminal TPR domain	1	0.006	0.008	1
PF02020	eIF4-gamma/eIF5/eIF2-epsilon	1	0.006	0.008	1
PF14518	Iron-containing redox enzyme	1	0.006	0.008	1
PF21547	TELO2-interacting protein 1	1	0.006	0.008	1
PF02110	Hydroxyethylthiazole kinase family	1	0.006	0.008	1
PF00962	Adenosine deaminase	1	0.006	0.008	1
PF08386	TAP-like protein	1	0.006	0.008	1
PF24800	Domain of unknown function (DUF7702)	1	0.006	0.008	1
PF08031	Berberine and berberine like	1	0.006	0.008	1
PF06201	PITH domain	1	0.006	0.008	1
PF27504	Domain of unknown function (DUF8348)	1	0.006	0.008	1
PF00646	F-box domain	1	0.006	0.008	1
PF03208	PRA1 family protein	1	0.006	0.008	1
PF00085	Thioredoxin	1	0.006	0.008	1
PF01764	Lipase (class 3)	1	0.006	0.008	1
PF21530	DNA helicase Pif1, 2B domain	1	0.006	0.008	1
PF07452	CHRD domain	1	0.006	0.008	1
PF27035	MutS5 N-terminal domain	1	0.006	0.008	1
PF01571	GCVT N-terminal domain	1	0.006	0.008	1
PF00355	Rieske [2Fe-2S] domain	1	0.006	0.008	1
PF16200	C-terminal region of band_7	1	0.006	0.008	1
PF26729	TMA17 helical domain	1	0.006	0.008	1
PF01145	SPFH domain / Band 7 family	1	0.006	0.008	1
PF02205	WH2 motif	1	0.006	0.008	1
PF08669	Glycine cleavage T-protein C-terminal barrel domain	1	0.006	0.008	1
PF10587	Eukaryotic elongation factor 1 beta central acidic region	1	0.006	0.008	1
PF00388	Phosphatidylinositol-specific phospholipase C, X domain	1	0.006	0.008	1
PF00848	Ring hydroxylating alpha subunit (catalytic domain)	1	0.006	0.008	1
PF00736	EF-1 guanine nucleotide exchange domain	1	0.006	0.008	1
PF01694	Rhomboid domain	1	0.006	0.008	1
PF09848	Schlafen group 3, DNA/RNA helicase domain	1	0.006	0.008	1
PF08493	Aflatoxin regulatory protein	1	0.006	0.008	1
PF07724	AAA domain (Cdc48 subfamily)	1	0.006	0.008	1
PF17871	AAA lid domain	1	0.006	0.008	1
PF16350	FAD dependent oxidoreductase central domain	1	0.006	0.008	1
PF10431	C-terminal, D2-small domain, of ClpB protein	1	0.006	0.008	1
PF21153	NOL1/NOP2/Sun domain family member 5, N-terminal domain	1	0.006	0.008	1
PF00569	Zinc finger, ZZ type	1	0.006	0.008	1
PF02114	Phosducin	1	0.006	0.008	1
PF15377	Domain of unknown function (DUF4604)	1	0.006	0.008	1
PF13091	Cardiolipin synthase, PLD-like domain	1	0.006	0.008	1
PF21148	NOL1/NOP2/Sun domain family member 5, ferredoxin-like domain	1	0.006	0.008	1
PF05132	RNA polymerase III RPC4	1	0.006	0.008	1
PF01189	16S rRNA methyltransferase RsmB/F	1	0.006	0.008	1
PF25391	G protein beta WD-40 repeat protein	1	0.006	0.008	1
PF00253	Ribosomal protein S14p/S29e	1	0.006	0.008	1
PF06011	Transient receptor potential (TRP) ion channel	1	0.006	0.008	1
PF14698	Argininosuccinate lyase C-terminal	1	0.006	0.008	1
PF00206	Lyase	1	0.006	0.008	1
PF16862	Glycosyl hydrolase family 79 C-terminal beta domain	1	0.006	0.008	1
PF03364	Polyketide cyclase / dehydrase and lipid transport	1	0.006	0.008	1
PF13534	4Fe-4S dicluster domain	1	0.006	0.008	1
PF00202	Aminotransferase class-III	1	0.006	0.008	1
PF02777	Iron/manganese superoxide dismutases, C-terminal domain	1	0.006	0.008	1
PF13085	2Fe-2S iron-sulfur cluster binding domain	1	0.006	0.008	1
PF12949	HeH/LEM domain	1	0.006	0.008	1
PF06881	RNA polymerase II transcription factor SIII (Elongin) subunit A	1	0.006	0.008	1
PF09402	Man1-Src1p-C-terminal domain	1	0.006	0.008	1
PF05615	Tho complex subunit 7	1	0.006	0.008	1
PF02970	Tubulin binding cofactor A	1	0.006	0.008	1
PF21128	MCM4, winged helix domain	1	0.006	0.008	1
PF08592	Anthrone oxygenase	1	0.006	0.008	1
PF18271	Glycoside hydrolase 131 catalytic N-terminal domain	1	0.006	0.008	1
PF00935	Ribosomal protein L44	1	0.006	0.008	1
PF07716	Basic region leucine zipper	1	0.006	0.008	1
PF22982	ATP-dependent helicase HRQ1, winged helix domain	1	0.006	0.008	1
PF13405	EF-hand domain	1	0.006	0.008	1
PF13499	EF-hand domain pair	1	0.006	0.008	1
PF25000	Domain of unknown function (DUF7779)	1	0.006	0.008	1
PF22998	LYC1 GNAT-like C-terminal domain	1	0.006	0.008	1
PF25809	STEEP1 domain	1	0.006	0.008	1
PF09369	MrfA Zn-binding domain	1	0.006	0.008	1
PF01230	HIT domain	1	0.006	0.008	1
PF08839	DNA replication factor CDT1 like	1	0.006	0.008	1
PF04153	NOT2/NOT3/NOT5 C-terminal	1	0.006	0.008	1
PF18263	MCM6 C-terminal winged-helix domain	1	0.006	0.008	1
PF11976	Ubiquitin-2 like Rad60 SUMO-like	1	0.006	0.008	1
PF00485	Phosphoribulokinase / Uridine kinase family	1	0.006	0.008	1
PF08649	DASH complex subunit Dad1	1	0.006	0.008	1
PF08282	haloacid dehalogenase-like hydrolase	1	0.006	0.008	1
PF08513	LisH	1	0.006	0.008	1
PF04121	Nuclear pore protein 84 / 107	1	0.006	0.008	1
PF14681	Uracil phosphoribosyltransferase	1	0.006	0.008	1
PF01150	GDA1/CD39 (nucleoside phosphatase) family	1	0.006	0.008	1
PF24321	Domain of unknown function (DUF7493)	1	0.006	0.008	1
PF05648	Peroxisomal biogenesis factor 11 (PEX11)	1	0.006	0.008	1
PF20173	RZ type zinc finger domain	1	0.006	0.008	1
PF19279	YegS C-terminal NAD kinase beta sandwich-like domain	1	0.006	0.008	1
PF13086	AAA domain	1	0.006	0.008	1
PF13087	AAA domain	1	0.006	0.008	1
PF00781	Diacylglycerol kinase catalytic domain	1	0.006	0.008	1
PF11789	Zinc-finger of the MIZ type in Nse subunit	1	0.006	0.008	1
PF01267	F-actin capping protein alpha subunit	1	0.006	0.008	1
PF06012	Domain of Unknown Function (DUF908)	1	0.006	0.008	1
PF06320	GCN5-like protein 1 (GCN5L1)	1	0.006	0.008	1
PF06025	Domain of Unknown Function (DUF913)	1	0.006	0.008	1
PF00632	HECT-domain (ubiquitin-transferase)	1	0.006	0.008	1
PF22596	Scabin-like	1	0.006	0.008	1
PF03732	Retrotransposon-derived protein PEG10, N-terminal capsid-like domain	1	0.006	0.008	1
PF17035	Bromodomain extra-terminal - transcription regulation	1	0.006	0.008	1
PF06068	TIP49 P-loop domain	1	0.006	0.008	1
PF00282	Pyridoxal-dependent decarboxylase conserved domain	1	0.006	0.008	1
PF08712	Scaffold protein Nfu/NifU N terminal	1	0.006	0.008	1
PF00890	FAD binding domain	1	0.006	0.008	1
PF02910	Fumarate reductase flavoprotein C-term	1	0.006	0.008	1
PF00682	HMGL-like	1	0.006	0.008	1
PF17856	TIP49 AAA-lid domain	1	0.006	0.008	1
PF00112	Papain family cysteine protease	1	0.006	0.008	1
PF00439	Bromodomain	1	0.006	0.008	1
PF04003	Dip2/Utp12 Family	1	0.006	0.008	1
PF01106	NifU-like domain	1	0.006	0.008	1
PF10192	GPR180/TMEM145, transmembrane domain	1	0.006	0.008	1
PF16363	GDP-mannose 4,6 dehydratase	1	0.006	0.008	1
PF21870	GP180, GOLD domain	1	0.006	0.008	1
PF03074	Glutamate-cysteine ligase	1	0.006	0.008	1
PF13949	ALIX V-shaped domain binding to HIV	1	0.006	0.008	1
PF16901	C-terminal domain of alpha-glycerophosphate oxidase	1	0.006	0.008	1
PF02201	SWIB/MDM2 domain	1	0.006	0.008	1
PF03097	BRO1-like domain	1	0.006	0.008	1
PF12330	Haspin like kinase domain	1	0.006	0.008	1
PF01733	Nucleoside transporter	1	0.006	0.008	1
PF03690	Uncharacterised protein family (UPF0160)	1	0.006	0.008	1
PF08426	ICE2	1	0.006	0.008	1
PF12867	DinB superfamily	1	0.006	0.008	1
PF03856	Beta-glucosidase (SUN family)	1	0.006	0.008	1
PF13589	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	1	0.006	0.008	1
PF12451	Vacuolar protein sorting protein 11 C terminal	1	0.006	0.008	1
PF23356	PEP5/VPS11 Clathrin repeat	1	0.006	0.008	1
PF23341	PEP5/VPS11 N-terminal	1	0.006	0.008	1
PF08676	MutL C terminal dimerisation domain	1	0.006	0.008	1
PF17122	Zinc-finger	1	0.006	0.008	1
PF08774	VRR-NUC domain	1	0.006	0.008	1
PF13832	PHD-zinc-finger like domain	1	0.006	0.008	1
PF05186	Dpy-30 motif	1	0.006	0.008	1
PF01965	DJ-1/PfpI family	1	0.006	0.008	1
PF21315	FAN1, HTH domain	1	0.006	0.008	1
PF13831	PHD-finger	1	0.006	0.008	1
PF21170	Fanconi-associated nuclease 1, TPR domain	1	0.006	0.008	1
PF08069	Ribosomal S13/S15 N-terminal domain	1	0.006	0.008	1
PF15227	zinc finger of C3HC4-type, RING	1	0.006	0.008	1
PF04032	RNAse P Rpr2/Rpp21/SNM1 subunit domain	1	0.006	0.008	1
PF05011	Lariat debranching enzyme, C-terminal domain	1	0.006	0.008	1
PF03031	NLI interacting factor-like phosphatase	1	0.006	0.008	1
PF00572	Ribosomal protein L13	1	0.006	0.008	1
PF25372	F-box/LRR-repeat protein 15, leucine rich repeat domain	1	0.006	0.008	1
PF00735	Septin	1	0.006	0.008	1
PF20571	Domain of unknown function (DUF6780)	1	0.006	0.008	1
PF02179	BAG domain	1	0.006	0.008	1
PF00462	Glutaredoxin	1	0.006	0.008	1
PF16035	Chalcone isomerase like	1	0.006	0.008	1
PF02661	Fic/DOC family	1	0.006	0.008	1
PF26633	Domain of unknown function (DUF8206)	1	0.006	0.008	1
PF00854	POT family	1	0.006	0.008	1
PF02005	N2,N2-dimethylguanosine tRNA methyltransferase	1	0.006	0.008	1
PF13383	Methyltransferase domain	1	0.006	0.008	1
PF13816	Haem-containing dehydratase	1	0.006	0.008	1
PF01661	Macro domain	1	0.006	0.008	1
PF03657	UPF0113 PUA domain	1	0.006	0.008	1
PF01399	PCI domain	1	0.006	0.008	1
PF01583	Adenylylsulphate kinase	1	0.006	0.008	1
PF04938	Survival motor neuron (SMN) interacting protein 1 (SIP1)	1	0.006	0.008	1
PF01507	Phosphoadenosine phosphosulfate reductase domain	1	0.006	0.008	1
PF01747	ATP-sulfurylase	1	0.006	0.008	1
PF05347	Complex 1 protein (LYR family)	1	0.006	0.008	1
PF12351	Ca2+ regulator and membrane fusion protein Fig1	1	0.006	0.008	1
PF14306	PUA-like domain	1	0.006	0.008	1
PF18098	26S proteasome regulatory subunit RPN5 C-terminal domain	1	0.006	0.008	1
PF22241	PSMD12/CSN4, N-terminal	1	0.006	0.008	1
PF10601	LITAF-like zinc ribbon domain	1	0.006	0.008	1
PF01738	Dienelactone hydrolase family	1	0.006	0.008	1
PF19501	PcRGLX-like N-terminal RIFT barrel domain	1	0.006	0.008	1
PF01131	DNA topoisomerase	1	0.006	0.008	1
PF21345	PcRGLX-like protein central beta sandwich domain	1	0.006	0.008	1
PF10330	Putative Sin3 binding protein	1	0.006	0.008	1
PF26727	Domain of unknown function (DUF8242)	1	0.006	0.008	1
PF21346	PcRGLX-like protein C-terminal alpha/alpha toroid domain	1	0.006	0.008	1
PF06966	Protein of unknown function (DUF1295)	1	0.006	0.008	1
PF01751	Toprim domain	1	0.006	0.008	1
PF03992	Antibiotic biosynthesis monooxygenase	1	0.006	0.008	1
PF02515	CoA-transferase family III	1	0.006	0.008	1
PF00703	Glycosyl hydrolases family 2	1	0.006	0.008	1
PF20253	Family of unknown function (DUF6604)	1	0.006	0.008	1
PF01814	Hemerythrin HHE cation binding domain	1	0.006	0.008	1
PF23046	UBE2O, tandem tSH3-B domain	1	0.006	0.008	1
PF02837	Glycosyl hydrolases family 2, sugar binding domain	1	0.006	0.008	1
PF04124	Dor1-like family	1	0.006	0.008	1
PF03198	Glucanosyltransferase	1	0.006	0.008	1
PF02836	Glycosyl hydrolases family 2, TIM barrel domain	1	0.006	0.008	1
PF23043	UBE2O, SH3-B domain	1	0.006	0.008	1
PF01284	Membrane-associating domain	1	0.006	0.008	1
PF03372	Endonuclease/Exonuclease/phosphatase family	1	0.006	0.008	1
PF11710	G protein-coupled glucose receptor regulating Gpa2	1	0.006	0.008	1
PF01368	DHH family, N-terminal domain	1	0.006	0.008	1
PF02714	Calcium-dependent channel, 7TM region, putative phosphate	1	0.006	0.008	1
PF13920	Zinc finger, C3HC4 type (RING finger)	1	0.006	0.008	1
PF24854	Domain of unknown function (DUF7728)	1	0.006	0.008	1
PF05783	Dynein light intermediate chain (DLIC)	1	0.006	0.008	1
PF14703	Cytosolic domain of 10TM putative phosphate transporter	1	0.006	0.008	1
PF06249	Ethanolamine utilisation protein EutQ	1	0.006	0.008	1
PF08550	Nitrogen regulatory protein areA, GATA-like domain	1	0.006	0.008	1
PF13967	Late exocytosis, associated with Golgi transport	1	0.006	0.008	1
PF12621	Extracellular tail, of 10TM putative phosphate transporter	1	0.006	0.008	1
PF20736	Beta-L-arabinofuranosidase, GH127 middle domain	1	0.006	0.008	1
PF05042	Caleosin related protein	1	0.006	0.008	1
PF07944	Beta-L-arabinofuranosidase, GH127 catalytic domain	1	0.006	0.008	1
PF00724	NADH:flavin oxidoreductase / NADH oxidase family	1	0.006	0.008	1
PF02002	TFIIE alpha subunit	1	0.006	0.008	1
PF03911	Sec61beta family	1	0.006	0.008	1
PF01416	tRNA pseudouridine synthase	1	0.006	0.008	1
PF24877	Dihydroxy-acid/6-phosphogluconate dehydratase C-terminal	1	0.006	0.008	1
PF00920	Dihydroxy-acid/6-phosphogluconate dehydratase N-terminal	1	0.006	0.008	1
PF03098	Animal haem peroxidase	1	0.006	0.008	1
PF00368	Hydroxymethylglutaryl-coenzyme A reductase	1	0.006	0.008	1
PF22244	Glucuronyl esterase, fungi	1	0.006	0.008	1
PF01111	Cyclin-dependent kinase regulatory subunit	1	0.006	0.008	1
PF23584	Domain of unknown function (DUF7136)	1	0.006	0.008	2
PF01853	MOZ/SAS family	1	0.006	0.008	1
PF15879	NADH-ubiquinone oxidoreductase MWFE subunit	1	0.006	0.008	1
PF17772	MYST family zinc finger domain	1	0.006	0.008	1
PF09809	Mitochondrial ribosomal protein L27	1	0.006	0.008	1
PF16866	PHD-finger	1	0.006	0.008	1
PF07738	Sad1 / UNC-like C-terminal	1	0.006	0.008	1
PF13483	Beta-lactamase superfamily domain	1	0.006	0.008	1
PF05839	Apc13p protein	1	0.006	0.008	1
PF14534	Domain of unknown function (DUF4440)	1	0.006	0.008	1
PF26335	Beta-lactamase-like ARB_00930-like, C-terminal domain	1	0.006	0.008	1
PF00144	Beta-lactamase	1	0.006	0.008	1
PF01244	Membrane dipeptidase (Peptidase family M19)	1	0.006	0.008	1
PF22942	Domain of unknown function (DUF7025)	1	0.006	0.008	1
PF26146	PI-PLC X 1	1	0.006	0.008	1
PF05426	Alginate lyase	1	0.006	0.008	1
PF00291	Pyridoxal-phosphate dependent enzyme	1	0.006	0.008	1
PF01590	GAF domain	1	0.006	0.008	1
PF13417	Glutathione S-transferase, N-terminal domain	1	0.006	0.008	1
PF03481	Threonylcarbamoyl-AMP synthase, C-terminal domain	1	0.006	0.008	1
PF22041	Glutathione S-transferase, C-terminal domain	1	0.006	0.008	1
PF01217	Clathrin adaptor complex small chain	1	0.006	0.008	1
PF01300	Telomere recombination	1	0.006	0.008	1
PF00227	Proteasome subunit	1	0.006	0.008	1
PF11374	Protein of unknown function (DUF3176)	1	0.006	0.008	1
PF24494	Domain of unknown function (DUF7587)	1	0.006	0.008	1
PF00534	Glycosyl transferases group 1	1	0.006	0.008	1
PF28223	CAP22	1	0.006	0.008	1
PF13439	Glycosyltransferase Family 4	1	0.006	0.008	1
PF14269	Arylsulfotransferase (ASST)	1	0.006	0.008	1
PF01960	ArgJ family	1	0.006	0.008	1
PF00856	SET domain	1	0.006	0.008	1
PF13229	Right handed beta helix region	1	0.006	0.008	1
PF05193	Peptidase M16 inactive domain	1	0.006	0.008	1
PF04841	Vps16, N-terminal region	1	0.006	0.008	1
PF00575	S1 RNA binding domain	1	0.006	0.008	1
PF17123	RING-like zinc finger	1	0.006	0.008	1
PF23459	RRP5 S1 domain	1	0.006	0.008	1
PF12763	EH domain	1	0.006	0.008	1
PF03999	Microtubule associated protein (MAP65/ASE1 family)	1	0.006	0.008	1
PF00675	Insulinase (Peptidase family M16)	1	0.006	0.008	1
PF04840	Vps16, C-terminal region	1	0.006	0.008	1
PF04157	EAP30/Vps36 family	1	0.006	0.008	1
PF26147	YMC0/YMC35 alpha/beta hydrolase domain	1	0.006	0.008	1
PF24685	RRP5 OB-fold domain	1	0.006	0.008	1
PF08614	Autophagy protein 16 (ATG16)	1	0.006	0.008	1
PF00481	Protein phosphatase 2C	1	0.006	0.008	1
PF03357	Snf7	1	0.006	0.008	1
PF05843	Suppressor of forked protein (Suf)	1	0.006	0.008	1
PF01070	FMN-dependent dehydrogenase	1	0.006	0.008	1
PF02656	Domain of unknown function (DUF202)	1	0.006	0.008	1
PF07774	ER membrane protein complex subunit 1, second beta-propeller	1	0.006	0.008	1
PF06912	Protein of unknown function (DUF1275)	1	0.006	0.008	1
PF01223	DNA/RNA non-specific endonuclease	1	0.006	0.008	1
PF04199	Putative cyclase	1	0.006	0.008	1
PF08433	Chromatin associated protein KTI12	1	0.006	0.008	1
PF00173	Cytochrome b5-like Heme/Steroid binding domain	1	0.006	0.008	1
PF25293	EMC1 N-terminal beta-propeller domain	1	0.006	0.008	1
PF14124	Domain of unknown function (DUF4291)	1	0.006	0.008	1
PF05730	CFEM domain	1	0.006	0.008	1
PF00001	7 transmembrane receptor (rhodopsin family)	1	0.006	0.008	1
PF26093	TGH-like, helix-turn-helix domain	1	0.006	0.008	1
PF02735	Ku70/Ku80 beta-barrel domain	1	0.006	0.008	1
PF10163	Transcription factor e(y)2	1	0.006	0.008	1
PF03600	Citrate transporter	1	0.006	0.008	1
PF12569	N-terminal acetyltransferase A, auxiliary subunit	1	0.006	0.008	1
PF00025	ADP-ribosylation factor family	1	0.006	0.008	1
PF01585	G-patch domain	1	0.006	0.008	1
PF08701	GNL3L/Grn1 putative GTPase	1	0.006	0.008	1
PF03731	Ku70/Ku80 N-terminal alpha/beta domain	1	0.006	0.008	1
PF13664	Domain of unknown function (DUF4149)	1	0.006	0.008	1
PF03403	Platelet-activating factor acetylhydrolase, isoform II	1	0.006	0.008	1
PF08785	Ku C terminal domain like	1	0.006	0.008	1
PF07713	G patch domain-containing protein, N-terminal	1	0.006	0.008	1
PF02615	Malate/L-lactate dehydrogenase	1	0.006	0.008	1
PF02149	Kinase associated domain 1	1	0.006	0.008	1
PF08276	PAN-like domain	1	0.006	0.008	1
PF01485	IBR domain, a half RING-finger domain	1	0.006	0.008	1
PF22191	IBR domain	1	0.006	0.008	1
PF12585	Virulence factor CipC-like	1	0.006	0.008	1
PF02230	Phospholipase/Carboxylesterase	1	0.006	0.008	1
PF28374	Mitochondrial ribosomal protein mS27	1	0.006	0.008	1
PF02630	SCO1/SenC	1	0.006	0.008	1
PF14833	NAD-binding of NADP-dependent 3-hydroxyisobutyrate dehydrogenase	1	0.006	0.008	1
PF03446	NAD binding domain of 6-phosphogluconate dehydrogenase	1	0.006	0.008	1
PF05978	Ion channel regulatory protein UNC-93	1	0.006	0.008	1
PF01105	emp24/gp25L/p24 family/GOLD	1	0.006	0.008	1
PF05693	Glycogen synthase	1	0.006	0.008	1
PF01841	Transglutaminase-like superfamily	1	0.006	0.008	1
PF21340	Cip1-like, core domain	1	0.006	0.008	1
PF01679	Proteolipid membrane potential modulator	1	0.006	0.008	1
PF07653	Variant SH3 domain	1	0.006	0.008	1
PF24584	CYK3 C-terminal Ig-like domain	1	0.006	0.008	1
PF00930	Dipeptidyl peptidase IV (DPP IV) N-terminal region	1	0.006	0.008	1
PF03188	Eukaryotic cytochrome b561	1	0.006	0.008	2
PF03061	Thioesterase superfamily	1	0.006	0.008	1
PF27622	Domain of unknown function (DUF8356)	1	0.006	0.008	1
PF01048	Phosphorylase superfamily	1	0.006	0.008	1
PF16868	NMT1-like family	1	0.006	0.008	1
PF08783	DWNN domain	1	0.006	0.008	1
PF00294	pfkB family carbohydrate kinase	1	0.006	0.008	1
PF04227	Indigoidine synthase A like protein	1	0.006	0.008	1
PF04983	RNA polymerase Rpb1, domain 3	1	0.006	0.008	1
PF00623	RNA polymerase Rpb1, domain 2	1	0.006	0.008	1
PF04676	Protein similar to CwfJ C-terminus 2	1	0.006	0.008	1
PF05000	RNA polymerase Rpb1, domain 4	1	0.006	0.008	1
PF20416	U3 small nucleolar RNA-associated protein 20 domain	1	0.006	0.008	1
PF17800	Nucleoplasmin-like domain	1	0.006	0.008	1
PF20174	Family of unknown function (DUF6540)	1	0.006	0.008	1
PF04677	Protein similar to CwfJ C-terminal	1	0.006	0.008	1
PF07539	U3 small nucleolar RNA-associated protein 20, N-terminal	1	0.006	0.008	1
PF13696	Zinc knuckle	1	0.006	0.008	1
PF04997	RNA polymerase Rpb1, domain 1	1	0.006	0.008	1
PF00254	FKBP-type peptidyl-prolyl cis-trans isomerase	1	0.006	0.008	1
PF04597	Ribophorin I	1	0.006	0.008	1
PF03226	Yippee zinc-binding/DNA-binding /Mis18, centromere assembly	1	0.006	0.008	1
PF16589	BRCT domain	1	0.006	0.008	1
PF04998	RNA polymerase Rpb1, domain 5	1	0.006	0.008	1
PF21137	Protein arginine N-methyltransferase 3, C2H2 zinc finger domain	1	0.006	0.008	1
PF09423	PhoD-like phosphatase	1	0.006	0.008	1
PF02077	SURF4 family	1	0.006	0.008	1
PF22528	Arginine methyltransferase oligomerization subdomain	1	0.006	0.008	1
PF27593	Meroterpenoid methyltransferase N-terminal domain	1	0.006	0.008	1
PF16655	PhoD-like phosphatase, N-terminal domain	1	0.006	0.008	1
PF07992	Pyridine nucleotide-disulphide oxidoreductase	1	0.006	0.008	1
PF02852	Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain	1	0.006	0.008	1
PF22974	Domain of unknown function (DUF7029)	1	0.006	0.008	1
PF07938	Fungal fucose-specific lectin	1	0.006	0.008	1
PF14832	Putative oxalocrotonate tautomerase enzyme	1	0.006	0.008	1
PF23865	Domain of unknown function (DUF7223)	1	0.006	0.008	1
PF28154	Domain of unknown function (DUF8373)	1	0.006	0.008	1
PF03371	PRP38 family	1	0.006	0.008	1
PF01979	Amidohydrolase family	1	0.006	0.008	1
PF05572	Pregnancy-associated plasma protein-A	1	0.006	0.008	1
PF01522	Polysaccharide deacetylase	1	0.006	0.008	1
PF08881	CVNH domain	1	0.006	0.008	1
 putative necrosis-inducing factor		1	0.006	0.008	1
PF14856	Pathogen effector	1	0.006	0.008	1
PF01699	Sodium/calcium exchanger protein	1	0.006	0.008	1
PF13426	PAS domain	1	0.006	0.008	1
PF01822	WSC domain	1	0.006	0.008	1
PF11327	Egh16-like virulence factor	1	0.006	0.008	1
PF25486	Domain of unknown function (DUF7909)	1	0.006	0.008	1
PF00654	Voltage gated chloride channel	1	0.006	0.008	1
PF00571	CBS domain	1	0.006	0.008	1
PF08699	Argonaute linker 1 domain	1	0.006	0.008	1
PF18323	Cop9 signalosome subunit 5 C-terminal domain	1	0.006	0.008	1
PF02171	Piwi domain	1	0.006	0.008	1
PF01480	PWI domain	1	0.006	0.008	1
PF03951	Glutamine synthetase, beta-Grasp domain	1	0.006	0.008	1
PF10744	Mediator of RNA polymerase II transcription subunit 1	1	0.006	0.008	1
PF07103	Protein of unknown function (DUF1365)	1	0.006	0.008	1
PF10213	Mitochondrial ribosomal subunit protein	1	0.006	0.008	1
PF00120	Glutamine synthetase, catalytic domain	1	0.006	0.008	1
PF04101	Glycosyltransferase family 28 C-terminal domain	1	0.006	0.008	1
PF03144	Elongation factor Tu domain 2	1	0.006	0.008	1
PF00009	Elongation factor Tu GTP binding domain	1	0.006	0.008	1
PF06421	GTP-binding protein LepA C-terminus	1	0.006	0.008	1
PF00679	Elongation factor G C-terminus	1	0.006	0.008	1
PF20237	Family of unknown function (DUF6594)	1	0.006	0.008	1
PF16197	Ketoacyl-synthetase C-terminal extension	1	0.006	0.008	1
PF00959	Phage lysozyme	1	0.006	0.008	1
PF12511	Protein of unknown function (DUF3716)	1	0.006	0.008	1
PF03194	LUC7 N_terminus	1	0.006	0.008	1
PF02889	Sec63 Brl domain	1	0.006	0.008	1
PF04113	Gpi16 subunit, GPI transamidase component	1	0.006	0.008	1
PF02894	Oxidoreductase family, C-terminal alpha/beta domain	1	0.006	0.008	1
PF01408	Oxidoreductase family, NAD-binding Rossmann fold	1	0.006	0.008	1
PF23445	Winged Helix-turn-helix domain	1	0.006	0.008	1
PF15891	Nucleoside 2-deoxyribosyltransferase like	1	0.006	0.008	1
