product	AUS	CaOx	DCT	DCT_DHICA	DHICA_ox	TYR	binuclear_AspCuB	binuclear_TyrCuA	binuclear_TyrCuB	biosynthetic	hemocyanin	mononuclear_AspCuB_Zn	mononuclear_CuA_loss	mononuclear_CuB_loss	mononuclear_LeuCuA	mononuclear_ProCuB	neither_Microbispora	neither_liverfluke	oAPO	oMP
acyl-coa dehydrogenase family member 11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
acyl-coa n-acyltransferase	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	10
acyltransferase papa2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
adenine nucleotide alpha hydrolases-like protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
adenylosuccinate lyase	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
adhesin aida-i	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
adhesion and hyphal regulator 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
adhesion g protein-coupled receptor l3	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
adhesion g protein-coupled receptor l3-like isoform x1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
adp-ribosylglycohydrolase-domain-containing protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
afsr/sarp family transcriptional regulator	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
alanine--trna ligase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
alanyl-trna synthetase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
alcohol dehydogenase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
alcohol dehydrogenase	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	12	4
