product	AUS	CaOx	DCT	DCT_DHICA	DHICA_ox	TYR	binuclear_AspCuB	binuclear_TyrCuA	binuclear_TyrCuB	biosynthetic	hemocyanin	mononuclear_AspCuB_Zn	mononuclear_CuA_loss	mononuclear_CuB_loss	mononuclear_LeuCuA	mononuclear_ProCuB	neither_Microbispora	neither_liverfluke	oAPO	oMP
ctd kinase subunit gamma ctk3-domain-containing protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ctr copper transporter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2
cue domain-containing protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
cullin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
cupin domain-containing protein	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0
cutinase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7
cutinase precursor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
cutinase-domain-containing protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
cyanate hydratase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
cyclin-dependent kinase-like 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
cyclohexanone -monooxygenase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
cys-gly metallodipeptidase dug1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
cysteine proteinase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
cysteine synthase a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
cysteine synthase k/m:cysteine synthase b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
cysteinyl leukotriene receptor 2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
cysteinyl-trna synthetase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
cytidylyltransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
cytidylyltransferase family-domain-containing protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
cytochrome b subunit of succinate dehydrogenase, sdh3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
cytochrome b-large subunit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
cytochrome b5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
cytochrome c oxidase subunit vb-domain-containing protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
cytochrome p450	0	0	0	12	0	0	0	0	0	0	7	0	0	0	0	0	0	0	61	44
cytochrome p450 4f6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
cytochrome p450 family protein	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0
cytochrome p450 monooxygenase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	6
cytochrome p450 monooxygenase azai	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
cytochrome p450 monooxygenase oxidoreductase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
cytochrome p450 oxidoreductase	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1
cytoplasmic glyoxalase ii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
cytoplasmic trna 2-thiolation protein 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
cytosol aminopeptidase	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d-alanyl-d-alanine carboxypeptidase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
d-arabinitol 2-dehydrogenase	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3
d-isomer specific 2-hydroxyacid dehydrogenase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
dehydrogenase	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
deleted in malignant brain tumors 1 protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
dethiobiotin synthase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
deubiquitinating enzyme	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
di-copper centre-containing protein	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	109	7
di-sulfide bridge nucleocytoplasmic transport domain-containing protein	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
diacylglycerol acyltransferase dgat2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
diacylglycerol acyltransferase family	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
diacylglycerol cholinephosphotransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
diacylglycerol o-acyltransferase 1c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
dienelactone hydrolase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5
dihydroxy-acid and 6-phosphogluconate dehydratase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
dihydroxy-acid dehydratase ilv3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dihydroxy-acid/6-phosphogluconate dehydratase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
dihydroxyacetone kinase 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
dioxygenase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
dioxygenase swnh2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
diphenol oxidase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
dj-1/pfpi family protein	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
dna excision repair ercc-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
dna glycosylase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5
dna polymerase delta catalytic subunit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
dna polymerase delta subunit 3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
dna polymerase iii subunit epsilon	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dna polymerase phi-domain-containing protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
dna repair protein rad50	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
dna-binding protein	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dna-binding sap	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
dna-deoxyinosine glycosylase	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dna-dependent atpase mgs1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dna-directed rna polymerase i subunit rpa49	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dna-directed rna polymerase ii subunit b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
dna-directed rna polymerases i	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
dna-directed rna polymerases i, ii, and iii subunit rpabc2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
dna/rna non-specific endonuclease	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
dnaj domain containing protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
dnaj domain-containing protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6
dnaj subfamily c member 3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dnaj-like protein subfamily c member 3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dnak suppressor protein	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dnjc3 protein	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
domon domain-containing protein	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dopachrome tautomerase	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dss1/sem1 family-domain-containing protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
dtdp-d-glucose 4,6-dehydratase	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dtdp-d-glucose 4,6-dehydratase isoform x1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
duf1476 domain-containing protein	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
duf1488 domain-containing protein	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
duf2892 domain-containing protein	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
duf3291 domain-containing protein	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
duf3344 domain-containing protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
duf397 domain-containing protein	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
duf590-domain-containing protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
duf895 domain membrane protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
dynactin subunit 6	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dynamin family protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1
dzip1 protein	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e2 ubiquitin-conjugating protein mms2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
e3 ubiquitin-protein ligase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
e3 ubiquitin-protein ligase uhrf2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eef1-gamma domain-containing protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
efflux pump antibiotic resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
efflux pump dotc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3
elav-like protein 2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
endo-1,4-beta-xylanase 4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
endo-chitosanase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
endo-rhamnogalacturonase f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
endocytosis and vacuole integrity protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
endonuclease	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
endonuclease/exonuclease/phosphatase	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	3
endonuclease/exonuclease/phosphatase family protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
endoplasmic reticulum oxidoreductin-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
endosomal p24a protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
endothelin receptor type b	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
enolase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
enoyl-[acyl-carrier-protein] reductase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
enr1 protein	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
epoxide hydrolase 2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ermp1 metallopeptidase	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ester hydrolase c11orf54-like protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
eukaryotic translation initiation factor 2 gamma subunit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
evolved beta-galactosidase subunit alpha	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
exocyst complex component 1-like	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
exocyst complex component sec10-like protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
exopolygalacturonase x-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
exopolyphosphatase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
exopolysaccharide biosynthesis polyprenyl glycosylphosphotransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
exosome 3'->5 exonuclease subunit ski4 (csl4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
exosome complex component rrp45	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
exosome rna helicase	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
expressed unknown protein	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
extended synaptotagmin-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
extended synaptotagmin-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	1
f-actin-capping protein subunit beta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
f-box domain-containing protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5
f-box only protein 10	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f-box-like	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0
fad binding domain protein	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
fad binding domain-containing protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	20
fad dependent oxidoreductase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	6
fad dependent oxidoreductase family protein	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
fad dependent oxidoreductase-domain-containing protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
fad nad-binding domain-containing protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
fad-binding domain-containing protein	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	11
fad-binding oxidoreductase	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0
fad-dependent oxidoreductase	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
fad/nad(p)-binding domain-containing protein	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	19
farnesyl pyrophosphate synthetase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
fas1 domain-containing protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3
fatty acid hydroxylase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
fc receptor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
fcf1-domain-containing protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0
fe-containing alcohol dehydrogenase	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ferric reductase like transmembrane component-domain-containing protein	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4
ferric reductase transmembrane component 3-like protein 2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ferric-chelate reductase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ferrioxamine b transporter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
fibronectin type iii-like domain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
fkbm family methyltransferase	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
flavin adenine dinucleotide binding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
flavin reductase like domain	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0
flavin-containing superfamily amine oxidase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
flavoprotein-like protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
formyltetrahydrofolate deformylase	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fras1-related extracellular matrix protein 1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
frem1 protein	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fructosamine kinase-domain-containing protein	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
fructosamine/ketosamine-3-kinase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4
fructose-bisphosphate aldolase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
fumarate reductase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
fumarylacetoacetate hydrolase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
fungal specific transcription factor	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4
fungal specific transcription factor domain protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1
fungal specific transcription factor domain-containing protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2
fungal-specific transcription factor domain-containing protein	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	16
fungal-specific transcription factor domain-domain-containing protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3
fusaric acid resistance protein-like	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
fusaric acid resistance-like protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0
g protein-coupled receptor 180	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gaf domain-containing protein	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
gal4-like zn(ii)2cys6 (or c6 zinc) binuclear cluster dna-binding domain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
galactose-proton symport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
galactoside o-acetyltransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
gamma-glutamyltranspeptidase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
gamma-tubulin complex, dgrip91/spc98 component protein	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0
gas1-like protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
gcn5-related n-acetyltransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
gcsp dehydrogenase	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gdsl-like lipase acylhydrolase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
gdsl-like lipase/acylhydrolase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
gegh16 protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
general substrate transporter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	33
gfo/idh/moca family oxidoreductase	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glucan 1,3-beta-glucosidase	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
glucanotransferase domain of glycogen debranching enzyme-domain-containing protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
glucooligosaccharide oxidase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2
glucose oxidase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
glucose/ribitol dehydrogenase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
glutamate--ammonia ligase	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
glutathione s-transferase	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	12
glycerol-3-phosphate dehydrogenase-like protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
glycerophosphoryl diester phosphodiesterase	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3
glycolipid 2-alpha-mannosyltransferase-domain-containing protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
glycoside hydrolase	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	33
glycoside hydrolase family 16 protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
glycoside hydrolase family 18 protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8
glycoside hydrolase family 3 protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1
glycoside hydrolase family 31 protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
glycoside hydrolase family 43 protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5
glycoside hydrolase family 5 protein	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	4
glycoside hydrolase family 61 protein	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4
glycoside hydrolase family 92 protein	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	1
glycoside hydrolase family 93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
glycoside hydrolase family 93 protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
glycoside hydrolase superfamily	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	12
glycosyl hydrolase 28 family	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
glycosyl hydrolase catalytic core-domain-containing protein	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	5
glycosyl hydrolase family 11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4
glycosyl hydrolase family 17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
glycosyl hydrolase family 18	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	2
glycosyl hydrolase family 35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3
glycosyl hydrolase family 43 protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11
glycosyl hydrolase family 61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11
glycosyl hydrolase family 61-domain-containing protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	12
glycosyl hydrolases family 28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
glycosyl transferase	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3
glycosyl transferase family 1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
glycosyl transferase, group 1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glycosyltransferase	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4
glycosyltransferase family 1 protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9
glycosyltransferase family 15 protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
glycosyltransferase family 2 protein	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
glycosyltransferase family 28 domain-containing protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
glycosyltransferase family 90 protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2
glyoxalase bleomycin resistance protein dioxygenase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
glyoxalase/bleomycin resistance protein/dioxygenase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
glypican 5	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glypican 6	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glypican-5	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glypican-6	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glypican-6 isoform x2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glypican-6 secreted glypican-6	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gmc oxidoreductase	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9
gmp synthase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10
gmp synthase (glutamine-hydrolyzing)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
gmp synthase [glutamine-hydrolyzing]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
gnat domain-containing protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
gnat family	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
gnat family acetyltransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
gnat family n-acetyltransferase	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1
gp180 protein	0	0	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gpc5 protein	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gpc6 isoform 1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gpc6 isoform 2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gpc6 protein	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gpi-anchored cell surface glycoprotein	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gpi-anchored protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
