keyword	AUS	CaOx	DCT	DCT_DHICA	DHICA_ox	TYR	binuclear_AspCuB	binuclear_TyrCuA	binuclear_TyrCuB	biosynthetic	hemocyanin	mononuclear_AspCuB_Zn	mononuclear_CuA_loss	mononuclear_CuB_loss	mononuclear_LeuCuA	mononuclear_ProCuB	neither_Microbispora	neither_liverfluke	oAPO	oMP
active	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
activity	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
acyl	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10
acyl-coa	0	0	0	5	0	0	0	0	0	0	3	0	0	0	0	0	1	0	13	23
acylhydrolase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
acyltransferase	0	0	0	3	0	2	0	0	0	0	3	0	0	0	0	0	0	0	10	7
adapter	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
adaptor	0	0	0	47	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	11
adenine	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	10
adenosylmethionine-8-amino-7-oxononanoate	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
adhesion	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5
adp-ribosylation	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6
affinity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	15
afsr/sarp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
alanyl-trna	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	17
alcohol	0	0	0	29	0	1	0	0	0	0	1	0	0	0	0	0	0	0	60	30
aldehyde	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	23
aldo/keto	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	8
aldolase	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	13	8
alfa-l-rhamnosidase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
alg13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
alkaline	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	3
allantoate	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5
allele)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
alpha	0	0	0	6	0	0	0	0	0	0	3	0	0	0	0	1	0	2	30	49
