subgroup	n_queries	n_flanking_genes	avg_flanking	top_keywords	top_products
E195R	89	1269	14.3	tyrosinase(17); repeat(17); beta-lactamase-like(14); subunit(11); tetratricopeptide(11); mitochondrial(10); synthase(9); member(8); aerolysin(8); factor(8); receptor(7); proteasome(6); transporter(6); ankyrin(6); biological(6)	predicted protein(18); tyrosinase(17); hypothetical predicted protein(14); putative beta-lactamase-like 1(11); tetratricopeptide repeat protein 28(10); aerolysin(8); biological adhesion(6); aerolysin-3(4); ankyrin repeat domain-containing protein 16(4); f-box only protein 18(4)
F227W	48	857	17.9	subunit(42); ribosomal(18); factor(16); complex(16); mitochondrial(14); dehydrogenase(14); transporter(10); succinate(10); flavoprotein(10); synthase(8); cytochrome(7); mrna(7); ap-1(7); nucleoside(6); oxidase(6)	succinate dehydrogenase flavoprotein subunit(7); phosphoribosylformylglycinamidine synthase(6); ap-1 adaptor complex mu subunit apm1(6); sad1-interacting factor 3(5); cnt family concentrative nucleoside transporter(4); mrna splicing protein(4); omega-amidase nit3(4); arp complex subunit(4); deubiquitinating enzyme(4); dna repair protein rad50(3)
F65L_W68A_R209Y	115	2009	17.5	hydrolase(40); domain(26); protein-domain-containing(22); unknown(22); function(22); transporter(21); subunit(20); heterokaryon(20); incompatibility(20); superfamily(18); cytochrome(17); facilitator(17); ankyrin(16); major(16); glycoside(16)	putative protein of unknown function(22); heterokaryon incompatibility protein-domain-containing protein(17); major facilitator superfamily domain-containing protein(12); ankyrin repeat-containing domain protein(12); concanavalin a-like lectin/glucanase domain-containing protein(12); nad(p)-binding protein(10); cytochrome p450(10); kinase-like domain-containing protein(9); p-loop containing nucleoside triphosphate hydrolase protein(7); alpha/beta hydrolase protein(7)
F65L_W68A_other	4	80	20.0	hydrolase(2); dihydroxy-acid/6-phosphogluconate(2); dehydratase(2); elimination(2); defective(2); glycoside(1); major(1); facilitator(1); superfamily(1); glycosyltransferase(1); thioesterase-like(1); superfamily-domain-containing(1); cytochrome(1); oxidase(1); subunit(1)	dihydroxy-acid/6-phosphogluconate dehydratase(2); glycoside hydrolase family 93 protein(1); major facilitator superfamily domain-containing protein(1); glycosyltransferase family 15 protein(1); thioesterase-like superfamily-domain-containing protein(1); cytochrome c oxidase subunit vb-domain-containing protein(1); alpha/beta hydrolase protein(1); nucleotide-diphospho-sugar transferase(1); concanavalin a-like lectin/glucanase domain-containing protein(1); superoxide dismutase [mn], mitochondrial(1)
G46N_helix	97	1370	14.1	transcriptional(60); regulator(56); transporter(55); synthase(52); tyrosinase(31); kinase(29); dehydrogenase(28); oxidoreductase(24); tyrosinase-like(21); acid(20); fad-binding(16); biosynthesis(16); tyr-1(16); helix-turn-helix(14); permease(14)	mfs transporter(24); tyrosinase-like protein tyr-1(16); fad-binding oxidoreductase(14); aspartate kinase(12); 2-amino-3,7-dideoxy-d-threo-hept-6-ulosonate synthase(11); tyrosinase family member (tyr-3)(11); tyrosinase(10); helix-turn-helix transcriptional regulator(9); aldehyde dehydrogenase family protein(8); 3-dehydroquinate synthase ii(8)
H230Y_5pos	61	1066	17.5	secretion(47); transcriptional(44); regulator(41); transporter(38); system(37); oxidoreductase(24); hydrolase(20); substrate-binding(18); membrane(15); permease(14); lrp/asnc(13); hemagglutinin(12); dehydrogenase(11); general(11); pathway(11)	lrp/asnc family transcriptional regulator(13); abc transporter substrate-binding protein(7); nad(p)-binding protein(7); asnc family transcriptional regulator(6); type ii secretion system atpase gspe(6); type ii secretion system inner membrane protein gspf(6); llm class flavin-dependent oxidoreductase(6); lysr family transcriptional regulator(6); heterokaryon incompatibility protein-domain-containing protein(6); transposase(5)
