product	E195R	F227W	F65L_W68A_R209Y	F65L_W68A_other	G46N_helix	H230Y_5pos
phosphoribosylformylglycinamidine synthase	0	6	0	0	0	0
pre-mrna-processing protein 45	0	3	0	0	0	0
predicted protein	18	0	0	0	7	0
prephenate dehydrogenase	0	0	0	0	5	0
proteasome subunit alpha type-5	3	0	0	0	0	0
protein aatf	4	0	0	0	0	0
protein disulfide reductase	0	0	0	0	0	4
protein kinase	0	0	0	0	6	0
putative atpase	0	0	3	0	0	0
putative beta-lactamase-like 1	11	0	0	0	0	0
putative glycosidase crh2	0	0	4	0	0	0
putative hydrolase	0	0	3	0	0	0
putative mannosyltransferase ktr5	0	0	4	0	0	0
putative porin	0	0	0	0	0	3
putative protein of unknown function	0	0	22	0	0	0
receptor-type tyrosine-protein phosphatase s	0	0	0	0	6	0
related to transporter protein	3	0	0	0	0	0
rho guanine nucleotide exchange factor	0	3	0	0	0	0
rmlc-like cupin domain-containing protein	0	0	3	0	0	0
s-adenosyl-l-methionine-dependent methyltransferase	0	0	5	0	1	3
sad1-interacting factor 3	0	5	0	0	0	0
sdr family nad(p)-dependent oxidoreductase	0	0	0	0	1	3
sdr family oxidoreductase	0	0	0	0	2	3
serine/threonine protein kinase	0	2	0	0	3	0
sgnh hydrolase-type esterase domain-containing protein	0	0	3	0	0	1
stress response rds1p	0	0	0	0	0	3
substrate-binding domain-containing protein	0	0	0	0	0	5
succinate dehydrogenase flavoprotein subunit	0	7	0	0	0	0
tetr family transcriptional regulator	0	0	0	0	3	0
tetr/acrr family transcriptional regulator	0	0	0	0	4	0
tetratricopeptide repeat protein	0	0	0	0	3	0
tetratricopeptide repeat protein 28	10	0	0	0	0	0
thioesterase-like superfamily-domain-containing protein	0	0	4	1	0	0
tkl kinase	0	1	0	0	0	3
topoisomerase 1-associated factor 1	0	0	0	0	3	0
transcriptional regulator	1	0	0	0	4	0
transcriptional regulator, asnc family	0	0	0	0	0	3
transposase	0	0	0	0	0	5
trimeric lpxa-like protein	0	0	6	0	0	0
tryptophan--trna ligase, mitochondrial	0	3	0	0	0	0
type ii secretion system atpase gspe	0	0	0	0	0	6
type ii secretion system inner membrane protein gspf	0	0	0	0	0	6
type ii secretion system minor pseudopilin gspk	0	0	0	0	0	3
type ii secretion system protein gspl	0	0	0	0	0	4
type ii secretion system protein gspm	0	0	0	0	0	3
type ii secretion system secretin gspd	0	0	0	0	0	4
tyrosinase	17	0	0	0	10	0
tyrosinase cofactor	0	0	0	0	6	0
tyrosinase family member (tyr-3)	0	0	0	0	11	0
tyrosinase family oxidase copper chaperone	0	0	0	0	4	0
tyrosinase-like protein tyr-1	0	0	0	0	16	0
tyrosinase-like protein tyr-3	0	0	0	0	5	0
ubid family decarboxylase	0	0	0	0	3	0
uncharacterized protein c17orf59-like	3	0	0	0	0	0
von willebrand factor a	3	0	0	0	0	0
wd40 repeat-like protein	0	0	3	0	0	0
wd40-repeat-containing domain protein	0	0	5	0	0	2
zinc-binding alcohol dehydrogenase family protein	0	0	0	0	0	3
